THRESHOLD, SCORE, UPPER ANGLE, UPPER THRESHOLD, UPPER_LOAD_CELL, LOWER ANGLE, LOWER THRESHOLD, LOWER_LOAD_CELL, DEP, DEM, TIMESTAMP, SAMPLE_NO
1000,0,6,997.260947684137,29862,109,999.923847578196,31964,414,101,4/25/2025 9:51:57 AM,2
1000,0,6,997.260947684137,29836,109,999.923847578196,31959,414,94,4/25/2025 9:51:57 AM,2
1000,0,6,997.260947684137,29739,109,999.923847578196,31968,414,89,4/25/2025 9:51:57 AM,2
1000,1,6,997.260947684137,29798,109,999.923847578196,31973,414,82,4/25/2025 9:51:57 AM,2
1000,2,6,997.260947684137,29421,109,999.923847578196,31989,414,77,4/25/2025 9:51:58 AM,2
1000,3,6,997.260947684137,29412,109,999.923847578196,31965,414,71,4/25/2025 9:51:58 AM,2
1000,4,6,997.260947684137,29354,109,999.923847578196,31958,414,66,4/25/2025 9:51:58 AM,2
1000,5,6,997.260947684137,29370,109,999.923847578196,31953,414,61,4/25/2025 9:51:58 AM,2
1000,6,6,997.260947684137,29243,109,999.923847578196,31973,414,56,4/25/2025 9:51:58 AM,2
1000,7,6,997.260947684137,28823,109,999.923847578196,32291,414,53,4/25/2025 9:51:59 AM,2
1000,8,6,997.260947684137,28860,109,999.923847578196,32301,414,49,4/25/2025 9:51:59 AM,2
1000,9,6,997.260947684137,28673,109,999.923847578196,32317,414,47,4/25/2025 9:51:59 AM,2
1000,10,6,997.260947684137,28258,109,999.923847578196,32394,414,46,4/25/2025 9:51:59 AM,2
1000,11,6,997.260947684137,27213,109,999.923847578196,33293,414,45,4/25/2025 9:52:00 AM,2
1000,12,6,997.260947684137,27335,109,999.923847578196,32970,414,46,4/25/2025 9:52:00 AM,2
1000,13,6,997.260947684137,27746,109,999.923847578196,32946,414,48,4/25/2025 9:52:00 AM,2
1000,14,6,997.260947684137,28275,109,999.923847578196,32881,414,51,4/25/2025 9:52:00 AM,2
1000,15,6,997.260947684137,28388,109,999.923847578196,32860,414,54,4/25/2025 9:52:00 AM,2
1000,16,6,997.260947684137,28399,109,999.923847578196,32863,414,58,4/25/2025 9:52:01 AM,2
1000,17,6,997.260947684137,27787,109,999.923847578196,32932,414,63,4/25/2025 9:52:01 AM,2
1000,18,6,997.260947684137,29700,109,999.923847578196,33398,414,68,4/25/2025 9:52:01 AM,2
1000,19,6,997.260947684137,32384,109,999.923847578196,33512,414,74,4/25/2025 9:52:01 AM,2
1000,20,7,997.260947684137,32489,109,999.923847578196,33401,393,58,4/25/2025 9:52:02 AM,2
1000,21,7,996.273075820661,29927,109,999.923847578196,32854,393,64,4/25/2025 9:52:02 AM,2
1000,21,7,996.273075820661,27664,109,999.923847578196,32854,393,71,4/25/2025 9:52:02 AM,2
1000,21,7,996.273075820661,25840,109,999.923847578196,33520,393,77,4/25/2025 9:52:02 AM,2
1000,21,7,996.273075820661,26854,109,999.923847578196,33340,393,84,4/25/2025 9:52:02 AM,2
1000,21,7,996.273075820661,26842,109,999.923847578196,33316,393,91,4/25/2025 9:52:03 AM,2
1000,21,7,996.273075820661,26873,109,999.923847578196,33307,393,97,4/25/2025 9:52:03 AM,2
1000,21,7,996.273075820661,26654,109,999.923847578196,33303,393,103,4/25/2025 9:52:03 AM,2
1000,21,7,996.273075820661,27375,109,999.923847578196,33311,393,110,4/25/2025 9:52:03 AM,2
1000,21,7,996.273075820661,27351,109,999.923847578196,33292,393,116,4/25/2025 9:52:04 AM,2
1000,21,7,996.273075820661,27331,109,999.923847578196,33295,393,123,4/25/2025 9:52:04 AM,2
1000,21,7,996.273075820661,26782,109,999.923847578196,33005,393,130,4/25/2025 9:52:04 AM,2
1000,21,8,996.273075820661,25631,109,999.923847578196,33425,393,136,4/25/2025 9:52:04 AM,2
1000,21,8,995.134034370785,40069,109,999.923847578196,35046,393,143,4/25/2025 9:52:04 AM,2
1000,21,8,995.134034370785,40702,108,999.923847578196,36006,404,134,4/25/2025 9:52:05 AM,2
1000,21,9,995.134034370785,41535,107,999.695413509548,36580,418,127,4/25/2025 9:52:05 AM,2
1000,21,10,993.844170297569,40037,106,999.314767377287,34927,418,101,4/25/2025 9:52:05 AM,2
1000,21,10,992.403876506104,38487,106,998.782025129912,33514,418,107,4/25/2025 9:52:05 AM,2
1000,21,11,992.403876506104,37392,106,998.782025129912,33515,418,114,4/25/2025 9:52:06 AM,2
1000,21,11,990.813591723832,36043,106,998.782025129912,34036,418,120,4/25/2025 9:52:06 AM,2
1000,21,12,990.813591723832,33919,106,998.782025129912,35564,403,104,4/25/2025 9:52:06 AM,2
1000,21,13,989.073800366903,31378,106,998.782025129912,35061,403,111,4/25/2025 9:52:06 AM,2
1000,21,13,987.185032392618,26747,105,998.782025129912,32877,424,109,4/25/2025 9:52:06 AM,2
1000,21,13,987.185032392618,26191,105,998.097349045873,31957,424,115,4/25/2025 9:52:07 AM,2
1000,21,13,987.185032392618,26802,105,998.097349045873,31989,424,122,4/25/2025 9:52:07 AM,2
1000,21,13,987.185032392618,27142,105,998.097349045873,32291,424,128,4/25/2025 9:52:07 AM,2
1000,21,13,987.185032392618,26853,105,998.097349045873,32320,424,134,4/25/2025 9:52:07 AM,2
1000,21,13,987.185032392618,27305,105,998.097349045873,32325,424,141,4/25/2025 9:52:07 AM,2
1000,21,13,987.185032392618,27251,105,998.097349045873,32352,424,148,4/25/2025 9:52:08 AM,2
1000,21,13,987.185032392618,27351,105,998.097349045873,32450,424,155,4/25/2025 9:52:08 AM,2
1000,21,13,987.185032392618,35928,105,998.097349045873,33404,424,161,4/25/2025 9:52:08 AM,2
1000,21,14,987.185032392618,40079,105,998.097349045873,32975,413,143,4/25/2025 9:52:08 AM,2
1000,21,14,985.147863137998,46235,105,998.097349045873,32929,413,150,4/25/2025 9:52:09 AM,2
1000,21,15,985.147863137998,43161,105,998.097349045873,32901,413,156,4/25/2025 9:52:09 AM,2
1000,21,16,982.962913144534,42537,105,998.097349045873,34513,413,163,4/25/2025 9:52:09 AM,2
1000,21,16,980.63084796916,41152,105,998.097349045873,34318,413,169,4/25/2025 9:52:09 AM,2
1000,21,17,980.63084796916,41103,105,998.097349045873,34941,403,151,4/25/2025 9:52:09 AM,2
1000,21,18,978.152377981518,42068,105,998.097349045873,35986,403,158,4/25/2025 9:52:10 AM,2
1000,21,18,975.528258147577,41048,104,998.097349045873,37521,428,159,4/25/2025 9:52:10 AM,2
1000,21,19,975.528258147577,41134,104,997.260947684137,35988,422,141,4/25/2025 9:52:10 AM,2
1000,21,20,972.759287799658,43206,103,997.260947684137,34874,449,146,4/25/2025 9:52:10 AM,2
1000,21,21,969.846310392954,43689,103,996.273075820661,34044,446,128,4/25/2025 9:52:11 AM,2
1000,21,21,966.790213248601,41010,103,996.273075820661,34953,446,134,4/25/2025 9:52:11 AM,2
1000,21,22,966.790213248601,40164,103,996.273075820661,37460,446,141,4/25/2025 9:52:11 AM,2
1000,21,23,963.591927283394,39522,102,996.273075820661,37451,475,150,4/25/2025 9:52:11 AM,2
1000,21,23,960.25242672622,38935,102,995.134034370785,34421,475,156,4/25/2025 9:52:11 AM,2
1000,21,24,960.25242672622,39635,102,995.134034370785,31995,474,139,4/25/2025 9:52:12 AM,2
1000,21,25,956.7727288213,38059,102,995.134034370785,32927,474,146,4/25/2025 9:52:12 AM,2
1000,21,25,953.153893518325,38403,102,995.134034370785,31964,474,153,4/25/2025 9:52:12 AM,2
1000,21,26,953.153893518325,37889,102,995.134034370785,31929,474,135,4/25/2025 9:52:12 AM,2
1000,21,27,949.397023149583,36940,102,995.134034370785,31849,474,141,4/25/2025 9:52:13 AM,2
1000,21,27,945.503262094184,37609,102,995.134034370785,31758,474,148,4/25/2025 9:52:13 AM,2
1000,21,28,945.503262094184,36865,102,995.134034370785,32491,445,124,4/25/2025 9:52:13 AM,2
1000,21,29,941.473796429464,38491,102,995.134034370785,31411,445,130,4/25/2025 9:52:13 AM,2
1000,21,29,937.309853569698,39498,102,995.134034370785,30805,445,137,4/25/2025 9:52:13 AM,2
1000,21,30,937.309853569698,40093,102,995.134034370785,31451,448,119,4/25/2025 9:52:14 AM,2
1000,21,31,933.012701892219,40540,102,995.134034370785,31800,448,125,4/25/2025 9:52:14 AM,2
1000,21,32,928.583650351056,41564,102,995.134034370785,31938,448,132,4/25/2025 9:52:14 AM,2
