THRESHOLD, SCORE, UPPER ANGLE, UPPER THRESHOLD, UPPER_LOAD_CELL, LOWER ANGLE, LOWER THRESHOLD, LOWER_LOAD_CELL, DEP, DEM, TIMESTAMP, SAMPLE_NO
1000,0,0,1000,29234,110,1000,32817,448,90,4/25/2025 9:49:39 AM,0
1000,0,0,1000,29244,110,1000,32815,448,87,4/25/2025 9:49:39 AM,0
1000,0,0,1000,29226,110,1000,32823,448,84,4/25/2025 9:49:40 AM,0
1000,1,0,1000,29243,110,1000,32818,448,82,4/25/2025 9:49:40 AM,0
1000,2,0,1000,29232,110,1000,32825,448,82,4/25/2025 9:49:40 AM,0
1000,3,0,1000,29218,110,1000,32819,448,81,4/25/2025 9:49:40 AM,0
1000,3,0,1000,29216,110,1000,32817,448,81,4/25/2025 9:49:41 AM,0
1000,3,0,1000,29210,110,1000,32822,448,82,4/25/2025 9:49:41 AM,0
1000,3,0,1000,29205,110,1000,32823,448,83,4/25/2025 9:49:41 AM,0
1000,3,0,1000,29218,110,1000,32816,448,85,4/25/2025 9:49:41 AM,0
1000,3,0,1000,29218,110,1000,32818,448,88,4/25/2025 9:49:41 AM,0
1000,3,0,1000,29215,110,1000,32819,448,91,4/25/2025 9:49:42 AM,0
1000,3,0,1000,29233,110,1000,32810,448,95,4/25/2025 9:49:42 AM,0
1000,3,0,1000,29244,110,1000,32816,448,99,4/25/2025 9:49:42 AM,0
1000,3,0,1000,29221,110,1000,32816,448,104,4/25/2025 9:49:42 AM,0
1000,3,0,1000,29215,110,1000,32808,448,108,4/25/2025 9:49:43 AM,0
1000,3,0,1000,29220,110,1000,32816,448,114,4/25/2025 9:49:43 AM,0
1000,3,0,1000,29235,110,1000,32809,448,119,4/25/2025 9:49:43 AM,0
1000,3,0,1000,29252,110,1000,32816,448,125,4/25/2025 9:49:43 AM,0
1000,3,0,1000,29312,110,1000,32823,448,130,4/25/2025 9:49:43 AM,0
1000,3,0,1000,29291,110,1000,32821,448,136,4/25/2025 9:49:44 AM,0
1000,3,0,1000,28861,110,1000,32813,448,142,4/25/2025 9:49:44 AM,0
1000,3,0,1000,28834,110,1000,32833,448,148,4/25/2025 9:49:44 AM,0
1000,3,0,1000,28793,110,1000,32836,448,154,4/25/2025 9:49:44 AM,0
1000,3,0,1000,28731,110,1000,32831,448,161,4/25/2025 9:49:44 AM,0
1000,3,0,1000,28778,110,1000,32831,448,167,4/25/2025 9:49:45 AM,0
1000,3,0,1000,28830,110,1000,32824,448,173,4/25/2025 9:49:45 AM,0
1000,3,0,1000,28795,110,1000,32817,448,180,4/25/2025 9:49:45 AM,0
1000,3,0,1000,28804,110,1000,32823,448,186,4/25/2025 9:49:45 AM,0
1000,3,0,1000,28802,110,1000,32821,448,193,4/25/2025 9:49:46 AM,0
1000,3,0,1000,28740,110,1000,32821,448,199,4/25/2025 9:49:46 AM,0
1000,3,0,1000,28735,110,1000,32817,448,206,4/25/2025 9:49:46 AM,0
1000,3,0,1000,28740,110,1000,32821,448,213,4/25/2025 9:49:46 AM,0
1000,3,0,1000,28722,110,1000,32825,448,219,4/25/2025 9:49:46 AM,0
1000,3,0,1000,28712,110,1000,32825,448,225,4/25/2025 9:49:47 AM,0
1000,3,0,1000,28720,110,1000,32828,448,233,4/25/2025 9:49:47 AM,0
1000,3,0,1000,28726,110,1000,32822,448,239,4/25/2025 9:49:47 AM,0
1000,3,0,1000,28736,110,1000,32824,448,245,4/25/2025 9:49:47 AM,0
1000,3,0,1000,28733,110,1000,32821,448,252,4/25/2025 9:49:48 AM,0
1000,3,0,1000,28728,110,1000,32819,448,258,4/25/2025 9:49:48 AM,0
1000,3,0,1000,28733,110,1000,32805,448,264,4/25/2025 9:49:48 AM,0
1000,3,0,1000,28733,110,1000,32816,448,271,4/25/2025 9:49:48 AM,0
1000,3,0,1000,28733,110,1000,32817,448,277,4/25/2025 9:49:48 AM,0
1000,3,0,1000,28756,110,1000,32826,448,284,4/25/2025 9:49:49 AM,0
1000,3,0,1000,28828,110,1000,32818,448,290,4/25/2025 9:49:49 AM,0
1000,3,0,1000,28794,110,1000,32818,448,297,4/25/2025 9:49:49 AM,0
1000,3,0,1000,28763,110,1000,32821,448,303,4/25/2025 9:49:49 AM,0
1000,3,0,1000,28769,110,1000,32831,448,309,4/25/2025 9:49:50 AM,0
1000,3,0,1000,28785,110,1000,32823,448,315,4/25/2025 9:49:50 AM,0
1000,3,0,1000,28798,110,1000,32824,448,321,4/25/2025 9:49:50 AM,0
1000,3,0,1000,28766,110,1000,32825,448,327,4/25/2025 9:49:50 AM,0
1000,3,0,1000,28758,110,1000,32819,448,334,4/25/2025 9:49:50 AM,0
1000,3,0,1000,28752,110,1000,32819,448,339,4/25/2025 9:49:51 AM,0
1000,3,0,1000,28764,110,1000,32827,448,345,4/25/2025 9:49:51 AM,0
1000,3,0,1000,28780,110,1000,32825,448,351,4/25/2025 9:49:51 AM,0
1000,3,0,1000,28789,110,1000,32824,448,357,4/25/2025 9:49:51 AM,0
1000,3,0,1000,28804,110,1000,32827,448,363,4/25/2025 9:49:52 AM,0
1000,3,0,1000,28823,110,1000,32819,448,368,4/25/2025 9:49:52 AM,0
1000,3,0,1000,28831,110,1000,32818,448,374,4/25/2025 9:49:52 AM,0
1000,3,0,1000,28822,110,1000,32812,448,380,4/25/2025 9:49:52 AM,0
1000,3,0,1000,28833,110,1000,32820,448,385,4/25/2025 9:49:52 AM,0
1000,3,0,1000,28815,110,1000,32817,448,391,4/25/2025 9:49:53 AM,0
1000,3,0,1000,28813,110,1000,32813,448,397,4/25/2025 9:49:53 AM,0
1000,3,0,1000,28799,110,1000,32811,448,402,4/25/2025 9:49:53 AM,0
1000,3,0,1000,28799,110,1000,32814,448,407,4/25/2025 9:49:53 AM,0
1000,3,0,1000,28802,110,1000,32811,448,413,4/25/2025 9:49:53 AM,0
1000,3,0,1000,28784,110,1000,32811,448,418,4/25/2025 9:49:54 AM,0
1000,3,0,1000,28789,110,1000,32807,448,423,4/25/2025 9:49:54 AM,0
1000,3,0,1000,28797,110,1000,32807,448,428,4/25/2025 9:49:54 AM,0
1000,3,0,1000,28805,110,1000,32812,448,433,4/25/2025 9:49:54 AM,0
1000,3,0,1000,28803,110,1000,32814,448,438,4/25/2025 9:49:55 AM,0
1000,3,0,1000,28807,110,1000,32814,448,443,4/25/2025 9:49:55 AM,0
1000,3,0,1000,28797,110,1000,32812,448,448,4/25/2025 9:49:55 AM,0
1000,3,0,1000,28807,110,1000,32818,448,452,4/25/2025 9:49:55 AM,0
1000,3,0,1000,28803,110,1000,32817,448,457,4/25/2025 9:49:56 AM,0
1000,3,0,1000,28808,110,1000,32816,448,462,4/25/2025 9:49:56 AM,0
1000,3,0,1000,28803,110,1000,32819,448,466,4/25/2025 9:49:56 AM,0
1000,3,0,1000,28792,110,1000,32813,448,470,4/25/2025 9:49:56 AM,0
1000,3,0,1000,28794,110,1000,32810,448,475,4/25/2025 9:49:56 AM,0
1000,3,0,1000,28803,110,1000,32812,448,480,4/25/2025 9:49:57 AM,0
1000,3,0,1000,28795,110,1000,32812,448,483,4/25/2025 9:49:57 AM,0
1000,3,0,1000,28796,110,1000,32811,448,488,4/25/2025 9:49:57 AM,0
1000,3,0,1000,28795,110,1000,32809,448,492,4/25/2025 9:49:57 AM,0
1000,3,0,1000,28803,110,1000,32815,448,495,4/25/2025 9:49:57 AM,0
1000,3,0,1000,28799,110,1000,32814,448,500,4/25/2025 9:49:58 AM,0
1000,3,0,1000,28804,110,1000,32821,448,503,4/25/2025 9:49:58 AM,0
1000,3,0,1000,28801,110,1000,32816,448,507,4/25/2025 9:49:58 AM,0
1000,3,0,1000,28836,110,1000,32817,448,511,4/25/2025 9:49:58 AM,0
1000,3,0,1000,28849,110,1000,32819,448,514,4/25/2025 9:49:59 AM,0
1000,3,0,1000,28843,110,1000,32820,448,517,4/25/2025 9:49:59 AM,0
1000,3,0,1000,28827,110,1000,32818,448,521,4/25/2025 9:49:59 AM,0
1000,3,0,1000,28825,110,1000,32817,448,524,4/25/2025 9:49:59 AM,0
1000,3,0,1000,28841,110,1000,32818,448,528,4/25/2025 9:49:59 AM,0
