THRESHOLD, SCORE, UPPER ANGLE, UPPER THRESHOLD, UPPER_LOAD_CELL, LOWER ANGLE, LOWER THRESHOLD, LOWER_LOAD_CELL, DEP, DEM, TIMESTAMP, SAMPLE_NO
1000,0,0,1000,28802,110,1000,32805,448,90,4/25/2025 9:50:54 AM,1
1000,0,0,1000,28805,110,1000,32810,448,87,4/25/2025 9:50:54 AM,1
1000,0,0,1000,28807,110,1000,32805,448,84,4/25/2025 9:50:54 AM,1
1000,1,0,1000,28836,110,1000,32805,448,82,4/25/2025 9:50:54 AM,1
1000,2,0,1000,28816,110,1000,32797,448,82,4/25/2025 9:50:54 AM,1
1000,3,0,1000,28798,110,1000,32806,448,81,4/25/2025 9:50:55 AM,1
1000,3,0,1000,28791,110,1000,32817,448,81,4/25/2025 9:50:55 AM,1
1000,3,0,1000,28797,110,1000,32818,448,82,4/25/2025 9:50:55 AM,1
1000,3,0,1000,28805,110,1000,32813,448,83,4/25/2025 9:50:55 AM,1
1000,3,0,1000,28826,110,1000,32807,448,85,4/25/2025 9:50:56 AM,1
1000,3,0,1000,28816,110,1000,32808,448,88,4/25/2025 9:50:56 AM,1
1000,3,0,1000,28797,110,1000,32804,448,91,4/25/2025 9:50:56 AM,1
1000,3,0,1000,28840,110,1000,32792,448,95,4/25/2025 9:50:56 AM,1
1000,3,0,1000,28849,110,1000,32800,448,99,4/25/2025 9:50:56 AM,1
1000,3,0,1000,28814,110,1000,32801,448,104,4/25/2025 9:50:57 AM,1
1000,3,0,1000,28772,110,1000,32796,448,108,4/25/2025 9:50:57 AM,1
1000,3,0,1000,28773,110,1000,32793,448,114,4/25/2025 9:50:57 AM,1
1000,3,0,1000,28734,110,1000,32868,448,119,4/25/2025 9:50:57 AM,1
1000,3,0,1000,28876,110,1000,32873,448,125,4/25/2025 9:50:58 AM,1
1000,3,0,1000,29812,110,1000,32854,448,130,4/25/2025 9:50:58 AM,1
1000,3,0,1000,32925,110,1000,32953,448,136,4/25/2025 9:50:58 AM,1
1000,3,0,1000,35061,110,1000,32990,448,142,4/25/2025 9:50:58 AM,1
1000,3,1,1000,37581,110,1000,33490,448,148,4/25/2025 9:50:58 AM,1
1000,3,1,999.923847578196,37523,110,1000,32865,448,154,4/25/2025 9:50:59 AM,1
1000,3,2,999.923847578196,37533,110,1000,33433,448,161,4/25/2025 9:50:59 AM,1
1000,3,3,999.695413509548,36090,110,1000,33816,423,148,4/25/2025 9:50:59 AM,1
1000,3,3,999.314767377287,36435,110,1000,33890,423,154,4/25/2025 9:50:59 AM,1
1000,3,4,999.314767377287,36565,110,1000,33402,423,161,4/25/2025 9:50:59 AM,1
1000,3,5,998.782025129912,35929,110,1000,33331,406,132,4/25/2025 9:51:00 AM,1
1000,3,5,998.097349045873,36424,110,1000,33370,406,139,4/25/2025 9:51:00 AM,1
1000,3,6,998.097349045873,35417,110,1000,33511,406,145,4/25/2025 9:51:00 AM,1
1000,3,7,997.260947684137,33932,110,1000,33938,383,135,4/25/2025 9:51:00 AM,1
1000,3,7,996.273075820661,34518,110,1000,34448,383,142,4/25/2025 9:51:01 AM,1
1000,3,8,996.273075820661,33820,110,1000,33904,383,148,4/25/2025 9:51:01 AM,1
1000,3,9,995.134034370785,34479,110,1000,33851,361,140,4/25/2025 9:51:01 AM,1
1000,3,9,993.844170297569,32291,110,1000,33889,361,146,4/25/2025 9:51:01 AM,1
1000,3,10,993.844170297569,30446,110,1000,34044,361,152,4/25/2025 9:51:01 AM,1
1000,3,10,992.403876506104,27750,110,1000,33994,361,158,4/25/2025 9:51:02 AM,1
1000,3,10,992.403876506104,25680,110,1000,34015,361,164,4/25/2025 9:51:02 AM,1
1000,3,10,992.403876506104,25721,110,1000,33842,361,170,4/25/2025 9:51:02 AM,1
1000,3,10,992.403876506104,25642,110,1000,34520,361,176,4/25/2025 9:51:02 AM,1
1000,3,10,992.403876506104,25318,110,1000,34494,361,182,4/25/2025 9:51:02 AM,1
1000,3,10,992.403876506104,25144,110,1000,34480,361,188,4/25/2025 9:51:03 AM,1
1000,3,10,992.403876506104,24143,110,1000,34496,361,194,4/25/2025 9:51:03 AM,1
1000,3,9,992.403876506104,23184,110,1000,33964,361,199,4/25/2025 9:51:03 AM,1
1000,3,9,993.844170297569,23609,110,1000,34987,361,206,4/25/2025 9:51:03 AM,1
1000,3,8,993.844170297569,27824,110,1000,34889,383,229,4/25/2025 9:51:03 AM,1
1000,3,8,995.134034370785,28251,110,1000,34944,383,235,4/25/2025 9:51:04 AM,1
