angle_1,angle_2,force_1,force_2
18,105,28413,33280
18,105,28393,33023
18,105,28372,33292
18,105,28364,33282
18,105,28356,33283
18,105,28347,33285
18,105,28349,33283
18,105,27870,33381
18,105,27895,33302
18,105,28828,32963
18,105,30866,32879
18,105,33970,32772
19,105,37544,32484
20,105,33909,29735
21,105,30801,26696
21,105,28401,24288
21,106,34473,30337
22,107,36882,31910
23,107,32829,28758
24,107,30890,23631
24,108,32925,27168
25,109,36585,28916
26,110,33355,28240
27,111,31864,29220
27,111,30723,29254
27,111,31485,27189
27,112,32286,25734
28,113,34329,28230
29,114,32318,27737
30,115,30775,26735
30,116,30428,26691
30,117,33007,29869
31,117,34412,31757
32,117,30295,28328
32,118,27710,23675
32,119,30847,27223
32,120,32464,31827
33,120,31340,32776
33,120,29353,32419
33,120,27893,30862
33,120,28340,30968
33,120,28242,31462
33,120,28206,31962
33,120,28210,32385
33,120,27873,31858
33,120,27855,32283
33,120,28395,30389
33,120,30271,28674
33,121,30270,24685
33,122,33906,28763
34,123,34905,30262
35,123,32280,28264
36,124,27708,25314
36,125,28731,26316
36,126,33355,29919
37,126,34868,30859
38,126,29763,27358
38,127,28381,20482
38,128,31973,23710
39,129,34367,28843
39,130,32269,28179
40,131,32438,28805
41,132,31410,30751
42,132,30889,32451
42,132,31325,32957
42,132,26293,32800
42,132,25639,32861
42,132,24785,32909
41,132,24271,32990
40,132,25168,34436
40,132,26355,35503
40,131,25287,35993
40,130,23188,33850
39,130,23111,32942
38,130,25852,36381
38,129,28284,40112
38,128,24663,38546
37,127,23087,33399
36,127,25299,33484
36,127,27829,36492
36,126,26672,37902
36,125,23729,35517
35,124,22533,33410
34,124,23613,33491
33,124,27314,36915
33,123,29202,40580
33,122,25845,36883
33,121,24103,34962
32,121,22666,33880
31,121,28292,38051
31,120,30326,43573
31,119,26723,39990
31,118,26732,37894
31,117,25781,37581
31,116,25767,37064
31,115,27267,37966
31,114,27232,39507
31,113,26686,39115
31,112,25772,38960
31,111,25096,40506
31,110,23673,40018
30,110,24215,40047
29,109,26864,40557
29,108,28867,41116
29,107,27733,40455
29,106,26758,40014
29,105,26810,40153
29,104,26703,41481
29,103,26782,41572
29,102,26629,42508
29,101,26824,42024
29,100,27216,43537
29,99,27869,45161
29,98,28213,43767
29,97,28205,43540
29,96,28908,42560
29,95,29380,42672
29,94,29933,41666
29,93,30270,41718
29,92,30730,41012
29,91,31769,41147
29,90,32392,40651
30,89,33423,40606
31,88,30871,40642
31,88,29856,40141
31,87,32977,38400
32,86,34459,37063
33,85,32359,37549
34,84,32313,37613
35,82,31859,36866
35,81,31878,36052
35,81,34990,34473
36,80,34985,33395
36,80,32453,36014
37,80,29843,40006
38,79,31436,38603
38,78,35065,35032
38,76,35997,33310
39,76,34437,33287
40,76,31822,33993
41,76,29712,38627
41,75,31399,40582
41,74,35525,35391
41,73,36461,33448
42,73,33999,33003
43,73,33354,34329
44,73,32795,35453
45,72,31260,37443
45,71,29717,34363
45,71,29869,32861
45,71,29237,32896
45,71,29342,32503
45,71,29321,31425
45,71,27830,31846
45,71,27802,32437
45,71,27760,31783
