angle_1,angle_2,force_1,force_2
11,100,27173,28694
11,100,27160,28703
11,100,27153,28702
11,100,27159,28691
11,100,27192,28675
11,100,27185,28675
11,100,27191,28678
11,100,26752,29200
11,100,27672,30376
11,100,29311,30427
11,100,31260,29711
11,100,32772,29698
11,100,33980,30397
11,100,35579,30392
11,100,35413,30346
11,100,36355,30342
11,100,36475,30346
11,100,36037,29897
11,100,36560,29860
11,100,36983,29821
11,100,37514,29791
11,100,37953,29771
11,100,38593,29753
11,100,39063,29702
11,100,39041,29383
11,100,39424,29373
11,100,39449,29370
11,100,39518,29373
11,100,39662,29394
11,100,39518,29408
11,100,40004,29422
11,100,40119,29730
11,100,40508,29741
11,100,41533,29770
11,100,41063,29790
11,100,41124,29786
11,100,41125,29788
11,100,41124,29780
11,100,41152,29770
11,100,41096,29766
11,100,41141,29771
11,100,42066,29779
11,100,42030,29798
11,100,42595,29808
11,100,42655,29801
12,100,42743,29787
12,100,39026,29358
12,100,39162,29223
12,100,39643,29199
12,100,40018,29216
12,100,40662,29241
12,100,40653,29265
12,100,41106,29313
12,100,41682,29344
12,100,41163,29364
12,100,42140,29375
12,100,42228,29381
12,100,42197,29396
12,100,43036,29423
12,100,43092,29424
12,100,43568,29420
12,100,43245,29424
12,100,43214,29410
12,100,43249,29394
12,100,43707,29404
12,100,43757,29395
12,100,44123,29389
12,100,44646,29377
12,100,44775,29365
13,100,43633,29361
13,100,43623,29215
13,100,42209,28888
13,100,42030,28919
13,100,42509,28913
13,100,42663,29185
13,100,42615,29210
13,100,42026,29200
13,100,42222,29193
13,100,42174,28880
13,100,42568,28897
13,100,42153,28881
13,100,42051,28845
13,100,42733,28814
13,100,42613,28782
13,100,42007,28804
13,100,42214,28823
13,100,42568,28907
13,100,42696,28865
13,100,42710,28872
13,100,43671,28866
13,100,43740,28860
13,100,43765,28883
13,100,43120,28882
13,100,43564,28903
13,100,44545,28884
13,100,44222,28863
13,100,45121,28829
13,100,45587,28797
13,100,45306,28762
13,100,46231,28756
13,100,46224,28716
14,100,46826,28690
14,100,45715,29240
14,100,45575,28828
14,100,45304,28822
14,100,46617,28895
14,100,46113,28905
14,100,46801,28927
15,100,47150,29195
15,100,41640,28802
15,100,42207,28378
15,100,42059,28257
15,100,42597,28251
15,100,42668,28323
15,100,43102,28319
15,100,43211,28353
15,100,43635,28361
15,100,43129,28403
15,100,42538,28341
15,100,42141,28378
16,100,39457,28167
16,100,39679,27752
16,100,39602,28404
16,100,39660,27648
16,100,39002,28410
16,100,39516,28402
16,100,40450,27662
16,100,41139,27762
16,100,39965,27730
16,100,40668,28323
16,100,40527,28268
16,100,40480,28266
16,100,40008,28253
16,100,40035,28241
16,100,40009,28229
16,100,40551,28246
16,100,41000,28292
17,100,41672,28347
17,100,40463,28173
17,100,40671,28178
17,100,41604,28217
17,100,40512,28222
17,100,40695,28193
17,100,39953,27847
17,100,40149,27829
17,100,40448,27864
17,100,41009,27883
17,100,41541,27862
17,100,41089,27883
17,100,41724,28188
17,100,42681,28200
17,100,42501,28211
17,100,43052,28225
17,100,43545,28230
17,100,43144,28249
17,100,42574,27792
17,100,42038,27791
17,100,42690,27842
17,100,43171,27869
17,100,43182,27879
17,100,43159,27884
17,100,43182,27881
17,100,43523,27873
17,100,43554,27877
17,100,43746,28165
18,100,43574,28174
18,100,41554,27782
18,100,41155,27717
18,100,40584,27703
18,100,39953,27737
18,100,40066,27765
18,100,40185,27788
18,100,41087,27860
18,100,42014,28208
18,100,42619,28221
18,100,42064,28204
18,100,42728,28215
18,100,43202,28236
19,100,43540,28259
19,100,41495,28228
19,100,38079,28365
19,100,32478,27353
19,100,32483,27334
19,100,28738,27308
19,100,29393,27854
19,100,28281,28409
19,100,28220,27723
19,100,28359,27756
19,100,28276,27768
19,100,28185,27801
19,100,28178,27835
19,100,27863,27850
19,100,27873,27877
19,100,27801,27881
19,100,28298,28226
19,100,27783,28177
