angle_1,angle_2,force_1,force_2
0,110,26158,32343
0,110,26149,32347
0,110,26131,32352
0,110,26134,32352
0,110,26143,32356
0,110,26141,32351
0,110,26150,32350
0,110,26142,32353
0,110,26118,32344
0,110,26361,32400
0,110,30336,32840
0,110,34000,33528
0,110,35460,33510
1,110,34513,32999
2,110,32996,32455
3,110,31876,32286
3,110,32370,32291
4,110,33840,32311
5,110,32376,32345
6,110,31990,32389
6,110,30920,33289
6,110,34328,33411
7,110,34460,33401
8,110,33000,33462
9,110,33931,32819
10,110,33503,32854
11,110,33396,32870
12,110,32961,32882
13,110,32413,32906
14,110,31965,32929
14,110,33439,32960
15,110,35340,32913
16,110,34030,32959
17,110,33933,32988
18,110,34401,33004
19,110,34959,33311
20,110,34994,33379
21,110,35345,33489
22,110,35058,33868
23,110,34850,34011
24,110,34860,34028
25,110,35492,33834
26,110,35033,34308
27,110,34912,34533
28,110,34930,34952
29,110,34851,35420
30,109,33865,35556
31,108,35373,32874
32,107,35376,32993
33,107,33821,32943
34,107,33473,33406
35,107,33411,33867
35,107,33792,34487
36,107,33971,34334
37,107,33362,35333
38,106,32790,34894
39,106,31801,33323
40,106,31281,33847
40,106,31763,33839
40,106,30795,33446
40,106,26162,32890
40,106,24125,33449
39,106,21605,33430
38,106,22229,33387
37,106,22157,33292
36,106,22102,32966
35,106,21128,32884
34,106,20627,32505
33,106,21713,32261
32,106,22066,31961
31,106,22130,31312
30,106,22094,31431
29,106,22641,30344
28,106,23593,27765
27,107,23591,26226
26,108,22541,31359
25,108,23218,33375
24,108,23723,32959
23,109,24089,31440
22,109,23778,29904
21,109,24705,29314
20,109,24605,27387
19,109,25341,30302
19,109,22634,31947
18,109,22134,31823
17,109,23170,30235
16,109,22584,29940
15,109,23127,28874
14,109,23600,30747
13,109,21603,32879
12,109,23710,31924
11,109,23591,31328
10,109,23197,30858
9,109,21569,30385
8,109,21223,29718
7,109,21719,29360
6,109,21565,28286
5,109,22042,30829
4,109,21158,32964
3,109,22767,33281
2,109,22667,33314
1,109,22247,33358
0,109,22723,33367
0,109,23223,33373
0,109,23097,33365
0,109,22134,33380
0,109,22132,20064
0,109,21512,22132
0,109,21649,33003
0,109,22186,33974
0,109,21517,35338
0,109,21513,35462
0,109,20491,32816
0,109,20159,33507
0,109,20576,33018
0,109,20522,20576
0,109,21062,32989
0,109,21536,34468
0,109,21651,35431
0,109,22748,35556
0,109,23098,32917
0,109,23223,32976
0,109,23245,23223
0,109,24617,23245
0,109,25837,36414
0,109,25139,45637
0,109,22031,36973
0,109,21077,33441
0,109,27195,21077
0,109,24748,33889
0,109,24273,35393
0,109,26793,24273
0,109,26366,26793
0,109,25184,26366
0,109,28164,25184
0,109,33899,28164
1,109,30971,33899
1,109,30298,30971
1,109,29877,30298
1,109,30388,39969
1,108,30262,39997
1,107,30274,33495
1,107,29879,32917
1,107,29927,33368
1,107,30357,33395
1,107,30366,33394
1,107,30347,33410
1,107,30293,33413
1,107,30339,33410
1,107,30364,33412
1,107,30422,33409
1,107,30428,33417
1,107,30436,33401
1,107,30373,33422
1,107,30228,33431
1,107,30262,33435
1,107,30363,33423
1,107,30330,33439
1,107,30452,33425
1,107,29786,33422
1,107,29844,33424
1,107,29813,33411
1,107,29739,33442
1,107,30335,33465
1,107,32333,32931
2,107,36554,32431
3,107,32266,30896
4,107,29368,30445
4,107,27287,28859
4,108,27145,28680
4,109,26669,33486
4,109,27277,33021
4,109,26635,32960
4,109,26735,32866
4,109,27750,33011
4,109,28216,32854
4,109,27811,32793
4,109,28372,33520
4,109,27304,33513
4,109,26853,32816
4,109,26727,33531
4,109,27319,32901
4,109,26861,32850
4,109,27178,32817
4,109,26801,32841
4,109,26683,32798
4,109,26247,32966
4,109,26282,32994
4,109,26778,33307
4,109,26747,32905
4,109,26764,32901
4,109,26738,32904
4,109,26739,32893
4,109,26746,32892
4,109,26751,32889
4,109,26738,32887
4,109,26738,32883
4,109,26747,32886
4,109,26745,32885
4,109,26731,32882
4,109,26735,32877
4,109,26734,32878
4,109,26748,32878
4,109,26746,32882
4,109,26736,32876
4,109,26646,32872
4,109,26841,32899
4,109,40580,36986
5,108,45167,39072
6,107,45125,37960
7,106,42070,35342
8,105,41071,33451
9,105,38638,31943
10,105,36022,31986
11,105,25225,31875
11,105,23215,32362
10,105,23727,31975
9,105,21624,32305
8,105,23179,32991
7,105,23662,32792
6,105,24180,32995
5,105,24768,33021
4,105,26338,33334
4,105,26796,33348
4,105,25739,33346
4,105,21505,32972
3,105,20557,32972
2,105,21718,33414
1,105,24266,33833
0,105,24828,33949
0,105,23746,34345
0,105,26244,34441
0,105,29745,34499
0,105,29259,34539
