Episode,Steps,Reward,Avg_Reward,Epsilon,Waypoints,Completion
0,1,-5.893793748279738,-2.946896874139869,0.5,1,0.058823529411764705
1,2,-9.536281155194775,-5.1433583011581705,0.5,1,0.058823529411764705
2,3,-12.881795615166505,-7.077967629660254,0.5,1,0.058823529411764705
3,4,-9.536281155194775,-7.569630334767157,0.5,1,0.058823529411764705
4,5,-14.040815923392225,-8.648161266204669,0.5,1,0.058823529411764705
5,6,-18.797562749416382,-10.09807576380634,0.5,1,0.058823529411764705
6,7,-31.15485613657179,-12.730173310402023,0.5,1,0.058823529411764705
7,8,-33.09601409364335,-14.993044508539949,0.5,1,0.058823529411764705
8,9,-40.15330095594089,-17.509070153280042,0.5,1,0.058823529411764705
9,10,-47.344657418797546,-20.221396268327087,0.5,1,0.058823529411764705
10,11,-54.61710525207543,-23.08770535030612,0.5,1,0.058823529411764705
11,12,-53.44689557575349,-25.42302767534053,0.5,1,0.058823529411764705
12,13,-54.61710525207543,-27.508318930821595,0.5,1,0.058823529411764705
13,14,-61.7425537402591,-29.790601251450763,0.5,1,0.058823529411764705
14,15,-54.41842787565561,-31.329840415463565,0.5,1,0.058823529411764705
15,16,-56.585695227208106,-32.81547893380148,0.5,1,0.058823529411764705
16,17,-63.66127669543521,-34.52913436500335,0.5,1,0.058823529411764705
17,18,-56.585695227208106,-35.69000598932992,0.5,1,0.058823529411764705
18,19,-56.585695227208106,-36.73479045122383,0.5,1,0.058823529411764705
19,20,-49.63465426655259,-37.349069680525204,0.5,1,0.058823529411764705
20,21,-56.585695227208106,-38.22346175082897,0.5,1,0.058823529411764705
21,22,-54.41842787565561,-38.927590712777956,0.5,1,0.058823529411764705
22,23,-53.2439802057482,-39.524106941651716,0.5,1,0.058823529411764705
23,24,-60.70613701167862,-40.371388144452794,0.5,1,0.058823529411764705
24,25,-61.7425537402591,-41.193356051983805,0.5,1,0.058823529411764705
25,26,-54.41842787565561,-41.68317352693462,0.5,1,0.058823529411764705
26,27,-61.7425537402591,-42.39957996312478,0.5,1,0.058823529411764705
27,28,-63.66127669543521,-43.132741919411345,0.5,1,0.058823529411764705
28,29,-63.66127669543521,-43.81702641194547,0.5,1,0.058823529411764705
29,30,-63.66127669543521,-44.457163517864494,0.5,1,0.058823529411764705
30,31,-63.66127669543521,-45.05729205466358,0.5,1,0.058823529411764705
31,32,-61.7425537402591,-45.562906045136174,0.5,1,0.058823529411764705
32,33,-61.7425537402591,-46.0387780361692,0.5,1,0.058823529411764705
33,34,-61.7425537402591,-46.48745734200034,0.5,1,0.058823529411764705
34,35,-60.70613701167862,-46.882420666158076,0.5,1,0.058823529411764705
35,36,-53.2439802057482,-47.05435470776862,0.5,1,0.058823529411764705
36,37,-53.1241465018933,-47.2140860707719,0.5,1,0.058823529411764705
37,38,-60.59466633567321,-47.557177872436036,0.5,1,0.058823529411764705
38,39,-53.1241465018933,-47.696352088172475,0.5,1,0.058823529411764705
39,40,-54.05887401590072,-47.85153554982438,0.5,1,0.058823529411764705
40,41,-61.40903869542433,-48.17433324376724,0.5,1,0.058823529411764705
41,42,-61.40903869542433,-48.4821170914802,0.5,1,0.058823529411764705
42,43,-61.40903869542433,-48.775910764297116,0.5,1,0.058823529411764705
43,44,-54.05887401590072,-48.893309947666076,0.5,1,0.058823529411764705
44,45,-46.760927082529115,-48.84695379842397,0.5,1,0.058823529411764705
45,46,-54.05887401590072,-48.95784571794475,0.5,1,0.058823529411764705
46,47,-55.98831097641284,-49.10431374416283,0.5,1,0.058823529411764705
