df_name,max_score,reward
active_1,209,3
active_10,131,2
active_11,0,-3
active_12,7,-3
active_13,131,2
active_14,166,3
active_15,0,-3
active_16,0,-3
active_17,181,3
active_18,51,-2
active_19,188,3
active_2,168,3
active_20,18,-3
active_21,0,-3
active_22,2,-3
active_23,0,-3
active_25,22,-3
active_26,19,-3
active_27,34,-3
active_28,26,-3
active_29,38,-3
active_3,0,-3
active_30,40,-3
active_31,13,-3
active_32,28,-3
active_33,176,3
active_34,174,3
active_4,100,1
active_5,211,3
active_6,90,0
active_7,151,3
active_8,82,-1
active_9,172,3
passive_1,79,-1
passive_10,6,-3
passive_11,129,2
passive_12,128,2
passive_13,220,3
passive_14,231,3
passive_15,206,3
passive_16,171,3
passive_17,223,3
passive_18,220,3
passive_19,171,3
passive_2,210,3
passive_20,214,3
passive_3,229,3
passive_4,205,3
passive_5,210,3
passive_6,225,3
passive_7,212,3
passive_8,138,2
passive_9,145,2
