THRESHOLD, SCORE, UPPER ANGLE, UPPER THRESHOLD, UPPER_LOAD_CELL, LOWER ANGLE, LOWER THRESHOLD, LOWER_LOAD_CELL, DEP, DEM, TIMESTAMP, SAMPLE_NO
1000,1,0,1000,32258,112,1000,36026,250,67,9/8/2025 4:58:00 PM,1
1000,2,0,1000,32257,112,1000,36008,250,67,9/8/2025 4:58:00 PM,1
1000,3,0,1000,32256,112,1000,36037,250,68,9/8/2025 4:58:01 PM,1
1000,4,0,1000,32257,112,1000,36024,250,71,9/8/2025 4:58:01 PM,1
1000,5,0,1000,32256,112,1000,36037,250,74,9/8/2025 4:58:01 PM,1
1000,5,0,1000,32257,112,1000,36033,250,78,9/8/2025 4:58:01 PM,1
1000,5,0,1000,32256,112,1000,36034,250,81,9/8/2025 4:58:01 PM,1
1000,5,0,1000,32257,112,1000,36034,250,85,9/8/2025 4:58:02 PM,1
1000,5,0,1000,32258,112,1000,36027,250,90,9/8/2025 4:58:02 PM,1
1000,5,0,1000,32257,112,1000,36029,250,96,9/8/2025 4:58:02 PM,1
1000,5,0,1000,32257,112,1000,36027,250,102,9/8/2025 4:58:02 PM,1
1000,5,1,1000,31993,112,1000,35878,250,107,9/8/2025 4:58:02 PM,1
1000,5,1,1000,31984,112,1000,35416,250,113,9/8/2025 4:58:03 PM,1
1000,5,2,1000,31968,112,1000,35005,250,118,9/8/2025 4:58:03 PM,1
1000,5,2,1000,31985,112,1000,35540,250,125,9/8/2025 4:58:03 PM,1
1000,5,2,1000,32256,112,1000,35576,250,130,9/8/2025 4:58:03 PM,1
1000,5,3,1000,32258,112,1000,34819,250,102,9/8/2025 4:58:03 PM,1
1000,5,4,1000,31994,112,1000,35507,250,108,9/8/2025 4:58:04 PM,1
1000,5,4,1000,31984,111,1000,35406,250,97,9/8/2025 4:58:04 PM,1
1000,6,5,1000,31948,110,1000,34943,250,67,9/8/2025 4:58:04 PM,1
1000,7,5,1000,31978,109,1000,34338,249,59,9/8/2025 4:58:04 PM,1
1000,8,6,1000,31991,108,1000,33487,250,57,9/8/2025 4:58:04 PM,1
1000,9,7,1000,31994,108,1000,31829,250,37,9/8/2025 4:58:05 PM,1
1000,10,7,1000,31996,108,1000,30291,250,42,9/8/2025 4:58:05 PM,1
1000,11,8,1000,31994,108,1000,30340,250,48,9/8/2025 4:58:05 PM,1
1000,12,9,1000,31983,107,1000,29846,250,47,9/8/2025 4:58:05 PM,1
1000,13,9,1000,31958,107,1000,28324,250,51,9/8/2025 4:58:05 PM,1
1000,14,10,1000,31979,107,1000,28739,249,33,9/8/2025 4:58:06 PM,1
1000,15,11,1000,31992,107,1000,29329,249,39,9/8/2025 4:58:06 PM,1
1000,16,11,1000,31984,107,1000,29850,249,45,9/8/2025 4:58:06 PM,1
1000,17,11,1000,31999,107,1000,30381,249,51,9/8/2025 4:58:06 PM,1
1000,18,11,1000,32257,107,1000,30438,249,57,9/8/2025 4:58:06 PM,1
1000,19,11,1000,32256,107,1000,29714,249,64,9/8/2025 4:58:07 PM,1
1000,20,12,1000,31970,107,1000,30454,250,52,9/8/2025 4:58:07 PM,1
1000,21,12,1000,31980,107,1000,29769,250,58,9/8/2025 4:58:07 PM,1
1000,22,12,1000,31994,107,1000,30263,250,65,9/8/2025 4:58:07 PM,1
1000,22,12,1000,32256,107,1000,30401,250,72,9/8/2025 4:58:08 PM,1
1000,22,12,1000,32257,107,1000,30412,250,77,9/8/2025 4:58:08 PM,1
1000,22,12,1000,32256,107,1000,30429,250,84,9/8/2025 4:58:08 PM,1
1000,22,13,1000,32258,107,1000,30440,250,90,9/8/2025 4:58:08 PM,1
1000,22,14,1000,31996,107,1000,30428,250,80,9/8/2025 4:58:08 PM,1
1000,22,14,1000,31995,107,1000,30460,250,86,9/8/2025 4:58:09 PM,1
1000,22,14,1000,31995,107,1000,30744,250,92,9/8/2025 4:58:09 PM,1
1000,22,14,1000,32256,107,1000,30391,250,98,9/8/2025 4:58:09 PM,1
1000,22,14,1000,31992,107,1000,27795,250,104,9/8/2025 4:58:09 PM,1
1000,22,15,1000,32256,107,1000,28898,250,110,9/8/2025 4:58:09 PM,1
1000,22,16,1000,31988,107,1000,29414,249,99,9/8/2025 4:58:10 PM,1
1000,22,16,1000,31972,106,1000,30279,250,86,9/8/2025 4:58:10 PM,1
1000,22,17,1000,31951,106,1000,28781,250,92,9/8/2025 4:58:10 PM,1
1000,22,17,1000,31989,105,1000,29856,250,85,9/8/2025 4:58:10 PM,1
1000,22,18,1000,31994,105,1000,28875,250,91,9/8/2025 4:58:10 PM,1
1000,22,19,1000,31972,105,1000,30414,250,76,9/8/2025 4:58:11 PM,1
1000,23,19,1000,31963,104,1000,30766,250,72,9/8/2025 4:58:11 PM,1
1000,23,19,1000,31994,104,1000,28843,250,78,9/8/2025 4:58:11 PM,1
1000,23,20,1000,32257,104,1000,30294,250,85,9/8/2025 4:58:11 PM,1
1000,24,21,1000,31997,103,1000,29816,249,65,9/8/2025 4:58:11 PM,1
1000,25,21,1000,31996,103,1000,31332,249,72,9/8/2025 4:58:12 PM,1
1000,26,21,1000,31999,103,1000,31911,249,78,9/8/2025 4:58:12 PM,1
1000,26,22,1000,32256,103,1000,32350,249,85,9/8/2025 4:58:12 PM,1
1000,26,23,1000,31989,102,1000,32330,250,96,9/8/2025 4:58:12 PM,1
