THRESHOLD, SCORE, UPPER ANGLE, UPPER THRESHOLD, UPPER_LOAD_CELL, LOWER ANGLE, LOWER THRESHOLD, LOWER_LOAD_CELL, DEP, DEM, TIMESTAMP, SAMPLE_NO
1000,0,0,1000,32256,114,1000,34529,250,105,8/27/2025 3:26:41 PM,14
1000,0,0,1000,31998,114,1000,34477,250,109,8/27/2025 3:26:41 PM,14
1000,0,0,1000,31999,114,1000,34480,250,112,8/27/2025 3:26:41 PM,14
1000,0,0,1000,32256,114,1000,34491,250,117,8/27/2025 3:26:41 PM,14
1000,0,0,1000,31999,114,1000,34504,250,122,8/27/2025 3:26:42 PM,14
1000,0,0,1000,31999,114,1000,34501,250,127,8/27/2025 3:26:42 PM,14
1000,0,0,1000,31999,114,1000,34494,250,132,8/27/2025 3:26:42 PM,14
1000,0,0,1000,31997,114,1000,34489,250,137,8/27/2025 3:26:42 PM,14
1000,0,0,1000,31998,114,1000,34524,250,142,8/27/2025 3:26:42 PM,14
1000,0,0,1000,31999,114,1000,34492,250,148,8/27/2025 3:26:43 PM,14
1000,0,0,1000,31997,114,1000,34501,250,155,8/27/2025 3:26:43 PM,14
1000,0,1,1000,31985,114,1000,34408,249,146,8/27/2025 3:26:43 PM,14
1000,0,2,1000,31988,114,1000,33826,250,131,8/27/2025 3:26:43 PM,14
1000,0,2,1000,31980,114,1000,34027,250,137,8/27/2025 3:26:43 PM,14
1000,0,2,1000,31959,114,1000,33829,250,144,8/27/2025 3:26:44 PM,14
1000,0,2,1000,31998,114,1000,33817,250,150,8/27/2025 3:26:44 PM,14
1000,0,3,1000,31996,114,1000,33870,250,144,8/27/2025 3:26:44 PM,14
1000,0,3,1000,31983,114,1000,33408,250,150,8/27/2025 3:26:44 PM,14
1000,0,4,1000,31986,113,1000,33361,250,135,8/27/2025 3:26:44 PM,14
1000,0,5,1000,31986,113,1000,33858,249,130,8/27/2025 3:26:45 PM,14
1000,0,5,1000,31923,112,1000,33440,249,114,8/27/2025 3:26:45 PM,14
1000,0,6,1000,31974,111,1000,32347,250,99,8/27/2025 3:26:45 PM,14
1000,0,7,1000,31993,111,1000,30230,250,93,8/27/2025 3:26:45 PM,14
1000,0,7,1000,31992,111,1000,27719,250,99,8/27/2025 3:26:46 PM,14
1000,0,8,1000,31995,111,1000,29211,250,107,8/27/2025 3:26:46 PM,14
1000,0,9,1000,31994,111,1000,29437,250,105,8/27/2025 3:26:46 PM,14
1000,0,9,1000,31992,111,1000,27217,250,111,8/27/2025 3:26:46 PM,14
1000,0,10,1000,31977,111,1000,27709,250,117,8/27/2025 3:26:46 PM,14
1000,0,10,1000,31969,111,1000,29400,250,123,8/27/2025 3:26:46 PM,14
1000,0,10,1000,31988,111,1000,29211,250,128,8/27/2025 3:26:47 PM,14
1000,0,10,1000,31996,111,1000,29345,250,134,8/27/2025 3:26:47 PM,14
1000,0,10,1000,31999,111,1000,29385,250,139,8/27/2025 3:26:47 PM,14
1000,0,11,1000,31999,111,1000,29390,250,146,8/27/2025 3:26:47 PM,14
1000,0,12,1000,31994,111,1000,29330,250,144,8/27/2025 3:26:47 PM,14
1000,0,12,1000,31986,111,1000,29403,250,149,8/27/2025 3:26:48 PM,14
1000,0,12,1000,31974,111,1000,29771,250,154,8/27/2025 3:26:48 PM,14
1000,0,12,1000,31996,111,1000,29880,250,160,8/27/2025 3:26:48 PM,14
1000,0,12,1000,32256,111,1000,29933,250,164,8/27/2025 3:26:48 PM,14
1000,0,12,1000,32256,111,1000,29945,250,170,8/27/2025 3:26:49 PM,14
1000,0,13,1000,32256,111,1000,30218,250,174,8/27/2025 3:26:49 PM,14
1000,0,14,1000,31992,111,1000,29877,250,171,8/27/2025 3:26:49 PM,14
1000,0,14,1000,31994,111,1000,29898,250,176,8/27/2025 3:26:49 PM,14
1000,0,14,1000,31995,111,1000,29939,250,180,8/27/2025 3:26:49 PM,14
1000,0,14,1000,31996,110,1000,30362,250,162,8/27/2025 3:26:50 PM,14
1000,0,14,1000,31997,110,1000,27169,250,166,8/27/2025 3:26:50 PM,14
1000,0,16,1000,31998,110,1000,31998,249,162,8/27/2025 3:26:50 PM,14
1000,0,16,1000,31987,110,1000,29849,249,166,8/27/2025 3:26:50 PM,14
1000,0,17,1000,31965,110,1000,30393,249,170,8/27/2025 3:26:51 PM,14
1000,0,18,1000,31977,110,1000,27181,250,166,8/27/2025 3:26:51 PM,14
1000,0,18,1000,31990,109,1000,27885,250,146,8/27/2025 3:26:51 PM,14
1000,0,19,1000,31991,109,1000,26656,250,150,8/27/2025 3:26:51 PM,14
1000,0,20,1000,31948,109,1000,29196,250,154,8/27/2025 3:26:51 PM,14
1000,0,20,1000,31965,108,1000,30234,250,136,8/27/2025 3:26:52 PM,14
1000,0,20,1000,31987,108,1000,26803,250,140,8/27/2025 3:26:52 PM,14
1000,0,21,1000,31996,108,1000,27809,250,131,8/27/2025 3:26:52 PM,14
1000,0,21,1000,31991,108,1000,28879,250,135,8/27/2025 3:26:52 PM,14
1000,0,22,1000,31992,108,1000,30271,250,139,8/27/2025 3:26:52 PM,14
1000,0,22,1000,31991,108,1000,31246,250,143,8/27/2025 3:26:53 PM,14
1000,0,23,1000,31998,108,1000,30747,249,134,8/27/2025 3:26:53 PM,14
1000,0,24,1000,31988,108,1000,30799,249,137,8/27/2025 3:26:53 PM,14
1000,0,24,1000,31960,108,1000,31299,249,140,8/27/2025 3:26:53 PM,14
1000,0,25,1000,31957,108,1000,31484,249,132,8/27/2025 3:26:54 PM,14
1000,0,25,1000,31990,108,1000,31882,249,134,8/27/2025 3:26:54 PM,14
