THRESHOLD, SCORE, UPPER ANGLE, UPPER THRESHOLD, UPPER_LOAD_CELL, LOWER ANGLE, LOWER THRESHOLD, LOWER_LOAD_CELL, DEP, DEM, TIMESTAMP, SAMPLE_NO
0,1,0,0,31998,110,0,37475,249,82,8/27/2025 3:51:16 PM,2
0,2,0,0,31997,110,0,37487,249,78,8/27/2025 3:51:16 PM,2
0,3,0,0,31997,110,0,37542,249,75,8/27/2025 3:51:16 PM,2
0,4,0,0,31998,110,0,37568,249,73,8/27/2025 3:51:17 PM,2
0,5,0,0,31997,110,0,37579,249,72,8/27/2025 3:51:17 PM,2
0,6,0,0,31999,110,0,37535,249,71,8/27/2025 3:51:17 PM,2
0,7,0,0,31998,110,0,37997,249,71,8/27/2025 3:51:17 PM,2
0,8,0,0,31998,110,0,39452,249,72,8/27/2025 3:51:17 PM,2
0,9,0,0,31998,110,0,43766,249,73,8/27/2025 3:51:18 PM,2
0,10,0,0,31998,110,0,49688,249,75,8/27/2025 3:51:18 PM,2
0,11,0,0,32256,109,0,52242,249,77,8/27/2025 3:51:18 PM,2
0,12,0,0,31998,109,0,54331,249,79,8/27/2025 3:51:18 PM,2
0,12,0,0,31999,108,0,54389,250,83,8/27/2025 3:51:18 PM,2
0,12,0,0,32256,108,0,52266,250,84,8/27/2025 3:51:19 PM,2
0,12,0,0,31999,108,0,49908,250,86,8/27/2025 3:51:19 PM,2
0,12,0,0,31999,108,0,48272,250,88,8/27/2025 3:51:19 PM,2
0,12,0,0,32256,108,0,48726,250,91,8/27/2025 3:51:19 PM,2
0,12,2,0,31998,108,0,46807,250,94,8/27/2025 3:51:19 PM,2
0,13,3,0,31999,108,0,44101,250,73,8/27/2025 3:51:20 PM,2
0,14,3,0,31997,107,0,50796,250,75,8/27/2025 3:51:20 PM,2
0,15,3,0,31998,107,0,54881,250,78,8/27/2025 3:51:20 PM,2
0,15,3,0,31998,106,0,53838,250,83,8/27/2025 3:51:20 PM,2
0,15,3,0,31998,105,0,54921,250,93,8/27/2025 3:51:20 PM,2
0,15,3,0,31999,104,0,57007,250,106,8/27/2025 3:51:21 PM,2
0,15,3,0,31998,104,0,53269,250,106,8/27/2025 3:51:21 PM,2
0,15,3,0,31998,104,0,49726,250,107,8/27/2025 3:51:21 PM,2
