angle1,angle2,force1,force2
0,116,36065,57016
0,116,36467,24248
0,116,36429,57016
0,116,36448,24248
0,116,36602,17438
0,116,37012,63057
0,116,37379,57016
0,116,37072,50206
0,116,37013,63057
0,116,36043,50206
0,116,36899,4331
0,116,36409,4331
0,116,36467,4331
0,116,36432,17438
0,116,35025,30289
0,116,35498,30289
0,116,35051,17438
0,116,36414,24248
0,116,36445,43141
0,116,36597,57017
0,116,36069,50207
0,116,35551,50207
0,116,34960,4332
0,116,34038,10374
0,116,33888,43142
0,116,34359,57017
0,116,33832,17439
0,116,34389,37100
0,116,34320,30290
0,116,34845,63058
0,116,35424,10374
0,116,36020,17439
0,116,36526,37099
0,115,35911,4331
0,115,37397,57016
0,115,37552,63057
0,114,36877,63057
0,114,37032,50206
0,114,37390,63057
0,113,37987,17438
0,113,37520,37099
0,113,35496,30289
0,113,36024,10373
0,112,36033,10373
0,112,35965,24248
0,112,35939,63057
0,112,36353,30289
0,112,35560,57016
0,112,36481,10373
0,112,35387,43141
0,112,36033,57016
0,111,37523,50207
0,110,40018,57017
0,109,39487,17438
0,108,39588,17438
0,108,37404,30289
0,107,38652,57016
0,107,39584,63057
0,107,39495,4331
0,107,39549,37099
0,106,40125,17438
0,105,39427,50206
0,105,38071,37099
0,105,38038,57016
0,105,38585,37099
0,104,38644,57016
0,104,38406,37099
0,104,38964,63057
0,104,39016,43141
0,104,39625,43141
0,104,38526,17438
0,104,38009,17438
0,103,39100,43141
0,102,39488,37099
0,101,38445,4331
0,101,38542,17438
0,100,38635,24248
0,100,39050,4331
0,100,39096,50206
0,99,39662,4331
0,98,39006,24248
0,98,39590,37099
0,97,39002,63057
0,97,39141,43141
0,97,39480,63057
0,96,38116,43141
0,96,37938,57016
0,96,38438,37099
0,94,38919,43141
0,93,39120,30289
0,93,40969,24248
0,93,41598,30289
0,92,41513,63057
0,91,41640,10373
0,90,42212,30289
0,90,42679,10373
0,89,43143,37099
0,89,43756,63057
0,87,44240,63057
0,86,44158,30289
0,86,43553,17438
0,86,43677,37099
0,85,43656,4331
0,84,42597,57016
0,83,43099,37099
0,83,43630,50206
0,82,43666,37099
0,82,42040,63057
0,81,40613,4331
0,79,41090,63057
0,79,42664,63057
0,79,42601,43141
0,78,42166,17438
0,77,41646,50206
0,77,42174,63057
0,77,41723,50206
0,76,42662,50206
0,76,41706,17438
0,76,42213,57016
0,76,41558,57016
0,75,41574,57016
0,75,41041,50206
0,75,41601,50206
0,75,36432,37100
0,75,35881,50207
0,75,37585,37100
0,75,37492,50207
0,75,36359,24249
0,75,35936,57017
0,75,37922,57017
0,75,37997,17439
0,75,36956,4332
0,75,36946,10374
0,75,37484,57017
0,75,37037,57017
0,75,36984,43142
0,75,38538,57017
0,75,38401,57017
0,75,37946,17439
0,75,37524,43142
0,75,38542,30290
0,75,39005,43142
0,75,37933,30290
0,75,37998,63058
0,75,38106,50207
0,75,38607,63058
0,75,38552,37100
0,75,38621,30290
0,75,38138,43142
0,75,38086,4332
0,75,37071,30290
0,75,37428,37100
0,75,36988,43142
0,75,37030,30290
0,75,37563,30290
0,75,37958,43142
0,75,36876,37100
0,75,37459,37100
