angle1,angle2,force1,force2
0,75,39166,50207
0,75,39937,63058
0,75,42118,24249
0,75,42497,4332
0,75,42076,24249
0,75,41021,17439
0,75,41618,24249
0,75,41125,63058
0,75,41686,63058
0,75,39606,43142
0,75,37990,17439
0,75,40582,4332
0,75,41608,17439
0,75,41483,10374
0,75,41575,4332
0,75,41032,24249
0,75,41670,43142
0,75,41604,63058
0,75,41036,50207
0,75,41564,43142
0,75,41005,50206
0,75,41110,50207
0,75,41726,43142
0,75,44566,37100
0,75,47339,57017
0,75,49287,17439
3,75,51753,37100
4,75,47158,63058
4,75,49205,57017
6,75,51904,43142
8,75,49908,10374
11,75,47774,50206
12,75,47618,37099
14,75,49397,30289
17,75,47190,43141
19,75,47672,43141
21,75,48836,63057
24,75,46197,50206
26,75,46226,10373
28,75,47763,4331
31,75,46667,50206
33,75,46089,57016
34,75,47312,37099
37,75,47823,4331
40,75,29213,37099
41,75,47668,30289
44,75,48180,17438
47,75,38645,43141
48,75,42680,4331
51,75,32357,24248
53,75,49752,4332
55,75,32468,43142
57,75,47243,50207
59,75,49340,63058
61,75,50808,43142
62,75,40069,57017
62,75,43615,10374
62,75,33993,24249
64,75,31274,4332
67,75,28274,17439
69,75,48798,43142
69,75,29885,63058
69,75,48748,63058
69,75,48263,50207
72,75,28694,4332
73,75,32450,57017
73,75,27161,43142
73,75,50768,37100
74,75,39980,10374
76,75,36518,30290
76,75,26678,37100
76,75,42669,50207
76,75,52926,50207
78,75,53968,10374
80,75,51780,50207
81,75,47309,4332
82,75,47216,10374
82,75,48894,10374
82,75,48771,17438
82,75,47649,37099
82,75,49786,24248
82,75,51937,24248
82,75,48791,30289
82,75,45295,37100
82,75,44792,10374
82,75,43025,50207
82,75,46783,4332
82,75,47225,50207
82,75,43123,50207
82,75,42058,43142
82,75,41483,37099
82,75,40008,30290
82,75,40531,24249
82,75,40655,24249
82,75,40573,57017
82,75,40487,57017
82,75,40108,50207
82,75,40077,37100
82,75,41680,57017
82,75,40015,30290
82,75,41667,30290
82,75,42167,43142
82,75,40451,50207
82,75,39973,30290
82,75,40994,43142
82,75,40094,50207
82,75,46213,37100
82,75,41091,43142
82,75,42181,37100
82,75,41032,50207
82,75,41028,43142
82,75,42026,43142
82,75,41987,30290
82,75,42024,43142
82,75,41597,43142
82,75,40656,50207
82,75,43146,10374
82,75,43240,30290
82,75,44612,37100
82,75,43720,30290
82,75,43578,63058
82,75,44625,10374
82,75,44585,50207
82,75,44260,30290
82,75,43774,50207
82,75,44113,50207
82,75,43638,30290
82,75,43159,37100
82,75,43669,30290
82,75,42016,63058
82,75,44661,37100
82,75,44092,50207
82,75,44283,30290
82,75,44090,37100
82,75,43176,37100
82,75,43628,37100
82,75,43564,10374
82,75,43764,10374
82,75,43561,63058
82,75,44205,37100
82,75,45293,30290
82,75,45297,37100
82,75,45275,37100
82,75,45269,37100
82,75,45199,43142
82,75,45189,37100
82,75,45148,10374
82,75,45108,37100
82,75,44783,57017
82,75,44255,63058
82,75,43016,4332
82,75,43039,43142
82,75,43072,50207
82,75,43166,43142
82,75,43023,37100
82,75,42742,37100
82,75,41552,63058
82,75,40702,63058
82,75,40640,63058
82,75,39979,63058
