angle1,angle2,force1,force2
21,138,37421,57016
21,138,35859,37099
21,138,35400,17438
21,138,35400,37099
21,138,35970,37099
21,138,38521,17438
21,138,37529,30289
21,138,37990,17438
21,138,35045,17438
21,138,38456,57016
21,138,37026,10373
21,138,36560,24248
21,138,35057,17438
21,138,37597,57016
21,138,35571,57016
21,138,31906,10373
21,138,33417,63058
21,138,34442,63058
21,138,33973,50207
21,138,32457,10374
21,138,31854,10374
21,138,30441,4332
21,138,30387,43141
21,138,29914,30290
21,138,29332,24249
20,138,28344,50207
18,137,32440,4332
18,137,33918,43141
18,137,34553,10373
18,137,36366,4331
18,136,35997,17438
18,136,35939,63057
18,135,36079,10373
18,135,36607,43141
18,135,37622,37099
18,135,38620,17438
18,135,37095,43142
18,135,37499,24249
18,135,38968,30290
18,135,37939,63058
18,135,35905,43141
18,135,34359,10373
18,134,33502,30289
18,133,32917,50206
18,133,30405,10373
18,132,32994,43141
18,132,34389,57016
18,129,31941,57017
18,129,29223,50206
18,128,29755,24248
18,127,28735,10373
18,127,20014,37099
18,126,27794,63057
18,125,28346,37099
18,123,27807,37099
18,122,25642,10373
18,121,25736,24248
18,120,27373,10373
18,119,26170,10373
18,118,26855,63057
18,117,28300,17438
18,115,28756,10373
18,114,27869,17438
18,112,28737,24248
18,112,28800,37099
18,111,28686,43141
18,109,27664,57016
17,107,25801,57016
16,105,25847,17438
15,105,26141,50206
15,104,25225,4331
15,102,25233,63057
14,100,24687,30289
14,97,24634,17438
14,97,25738,24248
14,95,24638,50206
14,93,22056,24248
12,92,21511,17438
11,91,26246,17438
10,90,27345,63057
10,89,25652,50206
10,87,24296,24248
10,85,25193,63057
8,83,27330,63057
8,82,27136,30289
8,80,25291,17438
8,79,25602,50206
8,78,24173,37099
7,77,23735,4331
7,77,25195,63057
7,77,22635,4331
7,77,23287,43141
7,77,25649,37099
7,77,31383,63057
7,77,32393,50207
7,77,32466,17439
7,77,33834,50207
7,77,34428,30290
7,77,34516,4332
7,77,34521,63058
7,77,33796,43142
7,77,34346,50207
7,77,33878,50207
7,77,33969,57017
7,77,33392,57017
7,77,32843,57017
7,77,33439,50207
7,77,32392,37100
7,77,32305,4332
7,77,32426,63058
7,77,32274,10374
7,77,32387,57017
7,77,31806,50207
7,77,30954,50206
5,76,22107,30289
2,76,24135,24248
1,75,25741,4331
1,75,28890,43141
1,75,29423,63057
1,75,28673,30289
0,74,23767,63057
0,74,20009,63057
0,74,20030,24248
0,74,18445,37099
0,74,22124,30289
0,74,27316,17439
0,74,28768,57017
0,74,27689,57017
0,74,27732,63058
0,74,28679,10374
0,74,21529,17439
0,74,28395,43142
0,74,27730,17439
0,74,26687,4332
0,74,26632,50207
0,74,27338,43142
0,74,26347,37100
0,74,22144,50207
0,74,15571,57017
0,74,26127,10374
0,74,26744,43142
0,74,30944,24249
2,74,32477,10374
2,74,29934,17439
2,74,27696,37100
2,74,24756,30290
2,74,25602,17439
2,74,21654,4332
2,74,20144,37100
1,74,22175,17439
0,72,20613,17438
0,72,62994,37099
0,72,61982,10373
0,72,3085,10373
0,72,15907,43141
0,72,14485,10373
0,71,10323,17438
0,71,11908,37099
0,71,16386,43141
0,71,18563,50207
0,71,37603,43142
0,71,18648,37100
0,71,18486,37100
0,71,16508,4332
0,71,27176,10374
0,71,14582,24248
0,71,15911,43141
0,71,48762,50206
3,72,39424,57017
3,72,19496,10374
3,72,21657,50206
3,72,18144,57016
3,72,16111,63057
3,72,17507,30289
3,72,18484,43142
0,72,24308,43141
0,72,17129,10374
0,72,16917,43142
0,72,12509,43141
0,72,27862,50207
0,71,16389,57016
0,71,16896,4331
0,71,35345,10374
0,71,24617,57017
0,71,33836,10374
0,71,29794,24249
0,71,19033,50207
0,71,18613,4332
0,71,20489,37100
0,71,20133,4332
0,71,34319,10374
0,71,33333,63058
0,71,33325,10374
0,71,14975,30290
0,71,25753,57017
0,71,26292,10374
0,71,24666,57017
0,71,32871,10374
0,71,31942,57017
0,71,31957,4332
0,71,32916,63058
0,71,31920,43142
0,71,32417,4332
0,71,30963,57017
0,71,29406,10374
0,71,30317,4332
0,71,32462,57017
0,71,32395,63058
0,71,20031,4332
0,71,22566,63058
0,71,22167,4332
0,71,23571,50207
0,71,23622,63058
0,71,23579,63058
0,71,26812,37100
0,71,35453,4332
0,71,34313,4332
0,71,36491,43142
0,71,33858,57017
0,71,32768,43142
0,71,30849,57017
0,71,32399,4332
0,71,32452,10374
0,71,37084,57017
0,71,35528,50207
0,71,32454,10374
0,71,34914,43142
0,71,33361,57017
0,71,34416,57017
0,71,32369,63058
