angle1,angle2,force1,force2
80,134,41488,24248
80,134,41105,24248
80,134,41004,17438
80,134,40157,63057
80,134,40093,10373
80,134,40471,4331
80,134,40080,57016
80,134,40964,4331
80,134,41161,50206
80,134,41165,10373
80,134,41097,50206
80,134,41698,4331
80,134,34914,17438
77,134,31334,17438
74,134,31333,50206
71,135,29890,10374
71,135,30836,37099
68,136,28701,30290
65,137,30738,17439
63,137,30825,63058
59,137,29808,10374
57,137,31834,17439
56,138,32273,43141
53,138,28825,37100
50,138,30815,57017
47,138,32474,30290
45,138,30893,10374
42,138,29794,43142
39,138,29790,37099
36,138,30394,4332
33,138,30764,24249
30,138,29236,24249
27,138,28890,10374
24,138,28410,50207
23,138,28323,43141
22,138,27818,10373
21,138,28368,30289
21,138,29877,17438
21,138,29884,17438
21,138,29200,37099
21,138,29348,4331
21,138,27250,43141
21,138,28828,24248
21,138,31263,10373
21,138,31826,37099
21,138,31951,24248
21,138,32411,10373
21,138,32269,10373
21,138,32377,43141
21,138,31794,57016
21,138,32273,10373
21,138,31825,4331
21,138,32422,10373
21,138,32343,4331
21,138,31345,63057
21,138,32371,10373
21,138,32437,17438
21,138,31347,30289
21,138,31334,30289
21,138,31248,24248
21,138,31251,30289
21,138,31921,4331
21,138,32281,17438
21,138,33533,30289
21,138,33809,37099
21,138,34370,57016
21,138,34004,10373
21,138,34386,10373
21,138,34306,24248
21,138,34364,63057
21,138,34349,10373
21,138,34348,10373
21,138,33933,30289
21,138,34316,10373
21,138,33963,30289
21,138,33408,30289
21,138,33807,17438
21,138,33297,30289
21,138,32773,30289
21,138,32469,30289
21,138,32324,17438
21,138,33533,30289
21,138,33424,10373
