angle1,angle2,force1,force2
82,75,40599,4332
82,75,39949,63058
82,75,39463,57017
82,75,39590,4332
82,75,39580,50207
82,75,39673,43142
82,75,40499,30290
82,75,40172,30290
82,75,40043,43142
82,75,40174,37100
82,75,40646,4332
82,75,40171,10374
82,75,40693,37100
82,75,40049,57017
82,75,40529,50207
82,75,41995,50207
82,75,42026,50207
82,75,40989,50207
82,75,41213,37100
82,75,38583,17439
82,75,36952,57016
82,75,35894,30289
82,75,33474,4331
82,75,33874,37099
82,75,34852,30289
82,75,33871,17438
82,76,34386,57016
82,76,37426,17439
82,76,37493,57017
82,78,38535,17439
82,79,38978,30290
82,79,39153,10374
82,79,40569,57017
82,79,40558,24249
82,79,42718,43141
82,79,43070,57017
82,79,45065,37099
82,79,45236,4332
82,80,45781,43142
82,80,46651,10374
82,80,46773,57017
82,80,46172,43142
82,80,44271,63057
82,80,44763,57016
82,80,45136,30289
82,80,45571,63057
82,80,45161,30289
82,80,44664,37099
82,80,42632,37099
82,80,42112,24248
82,80,44042,10373
82,80,42661,30289
82,80,43219,50206
82,81,45693,10374
82,84,44597,43141
82,87,42239,63058
82,88,40532,63058
82,88,41020,4332
82,91,40132,43141
82,94,37021,37100
82,95,36414,43142
82,95,36910,30290
82,95,37928,57017
82,95,41034,24249
82,95,42532,63057
82,95,42530,4331
82,95,42158,24248
82,95,42200,17438
82,95,42135,4331
82,95,42562,4331
82,95,42129,57016
82,95,42206,4331
82,95,42206,4331
82,95,41549,10373
82,95,39632,4331
82,95,39154,37099
82,95,39540,24249
82,95,44668,10374
82,97,41724,43141
82,99,41039,43141
82,101,37533,37100
82,101,33801,4332
82,103,34395,43142
81,106,34533,37100
79,107,34034,43141
79,108,34864,43142
79,109,35852,57017
79,109,37027,43142
79,110,37944,63058
80,113,38089,57016
80,115,37447,43142
80,116,38044,57017
80,116,38540,50207
80,116,38114,50207
80,118,39480,30290
80,121,40529,50207
80,122,40663,30290
80,123,40592,43142
80,124,41127,43141
80,125,40970,63058
80,127,41022,50207
80,129,39661,43142
80,130,39631,57017
80,131,40459,17439
80,131,40964,24249
80,133,41568,37099
80,134,40490,30290
80,134,39451,24249
80,134,40093,17439
80,134,41495,10374
80,134,42154,24248
80,134,42507,63057
80,134,42639,57016
80,134,42548,57016
80,134,42201,63057
80,134,42051,4331
80,134,42012,24248
80,134,40502,30289
80,134,40524,63057
80,134,40067,63057
80,134,40541,30289
80,134,40101,24248
80,134,39955,10373
80,134,40070,4331
80,134,40642,24248
80,134,40016,4331
80,134,40686,37099
80,134,40549,30289
80,134,40561,17438
80,134,40073,37099
80,134,40055,30289
80,134,40686,63057
80,134,41556,4331
80,134,41723,63057
80,134,41126,10373
80,134,41121,10373
80,134,41023,4331
80,134,40694,57016
80,134,40664,4331
80,134,40977,4331
80,134,40971,10373
80,134,41149,10373
80,134,41143,24248
80,134,41553,24248
80,134,41543,24248
80,134,40674,24248
80,134,41065,4331
80,134,42497,63057
80,134,42215,17438
80,134,42564,10373
80,134,42234,4331
80,134,42131,43141
80,134,42231,57016
80,134,42557,43141
