angle1,angle2,force1,force2
0,75,46636,63057
0,75,46598,57017
0,75,46238,63057
0,75,46196,50207
0,75,46160,43142
0,75,46120,30290
0,75,45809,63058
0,75,45239,57017
0,75,44764,30290
0,75,44570,63057
0,75,45629,63057
0,75,44285,57017
0,75,46192,10374
0,75,45646,30290
0,75,45691,43142
0,75,46105,43142
0,75,45763,63057
0,75,45737,10374
0,75,45724,10374
0,75,45670,4332
0,75,45583,63058
0,75,45211,10374
0,75,45658,37100
0,75,45280,10374
0,75,45256,63058
0,75,44608,37100
0,75,44208,4332
0,75,45243,10374
0,75,45119,43142
0,75,44771,63058
0,75,45098,17439
0,75,44603,30290
0,75,40118,30290
0,75,39609,24248
0,75,37584,10373
0,75,36543,43141
0,76,36367,4331
0,76,35492,43142
0,77,34000,50207
0,78,33289,4332
0,78,32796,50207
0,80,33300,50207
0,80,33343,50206
0,80,33396,37099
0,81,32320,63057
0,83,32867,57017
0,85,33898,10374
0,85,33418,57017
0,87,32927,57017
0,87,33415,63058
0,87,31971,50207
0,88,31965,50207
0,88,32495,57017
0,89,31884,30289
0,91,31284,63058
0,91,33488,4332
0,92,32378,63058
0,92,31308,50207
0,93,32493,43142
0,94,32947,10374
0,94,31377,10374
0,95,29840,57017
0,95,30235,4332
0,97,29838,50207
0,99,34439,17439
0,100,34376,30290
0,101,36016,43142
0,101,36041,63058
0,102,35847,37100
0,104,35926,17439
0,106,38917,24249
0,108,40625,4332
0,108,42655,37100
0,109,43061,10374
0,109,44120,43142
0,109,42711,43142
0,109,42148,50207
0,109,43107,43141
0,109,43150,17438
0,109,42678,37099
0,109,41605,63057
0,109,40499,50207
0,109,37484,50207
0,109,37082,50207
0,109,35987,43141
0,109,35965,50207
0,110,35863,17439
0,112,34840,17439
0,112,38964,17439
0,113,37376,24249
0,114,36079,10374
0,114,33848,37100
0,114,33815,17439
0,114,33488,24249
0,114,32976,30290
0,114,31932,24249
0,115,32475,63058
0,115,34389,4332
0,115,32795,30290
0,116,33893,17439
0,116,33971,63058
0,116,35567,17439
0,116,36503,24249
0,116,34004,10373
0,116,39663,43141
0,116,40703,43142
0,116,38070,17439
0,116,36882,17439
0,116,36058,24249
0,116,30334,30289
0,116,29338,17438
0,116,25099,4331
0,116,21701,57016
0,116,25693,57016
0,116,24802,17438
0,116,24604,30289
0,116,21602,57016
0,116,41490,17438
0,116,39942,57016
0,116,41128,10373
0,116,43571,57016
0,116,37955,63057
0,116,43041,17438
0,116,41576,43141
0,116,37593,43141
0,116,36374,63057
0,116,35343,43141
0,116,36959,4331
0,116,36929,43141
0,116,35840,43141
0,116,36872,43141
0,116,23554,43141
0,116,20629,17438
0,116,24142,10373
0,116,20022,24248
0,116,40692,57016
0,116,40593,63057
0,116,37062,4331
0,116,39567,57016
0,116,37973,24248
0,116,39633,24248
0,116,38526,4331
0,116,38931,10373
0,116,39526,63057
0,116,38416,4331
0,116,36930,17438
0,116,33858,10373
0,116,36503,4331
0,116,35027,63057
0,116,37085,24248
0,116,36960,43141
0,116,38494,50206
0,116,38439,17438
0,116,37393,24248
0,116,37070,10373
0,116,37505,4331
0,116,37574,57016
0,116,36532,4331
0,116,37071,24248
0,116,37440,10373
0,116,36476,24248
0,116,36462,4331
0,116,37555,17438
0,116,36945,17438
0,116,36437,57016
0,116,37580,50206
0,116,37058,24248
0,116,38978,63057
0,116,38516,10373
0,116,38071,10373
0,116,37897,57016
0,116,37104,17438
0,116,35054,57016
0,116,36090,10373
0,116,34820,24248
0,116,36380,24248
0,116,36405,4331
0,116,35012,63057
0,116,34936,63057
0,116,35350,10373
0,116,34882,10373
0,116,34919,57016
0,116,35428,24248
0,116,34533,17438
0,116,34524,10373
0,116,33889,63057
0,116,33509,4331
0,116,34542,57016
0,116,33971,10373
0,116,34304,57016
0,116,33465,4331
0,116,32922,57016
0,116,32262,63057
0,116,32389,63057
