THRESHOLD, SCORE, UPPER ANGLE, UPPER THRESHOLD, UPPER_LOAD_CELL, LOWER ANGLE, LOWER THRESHOLD, LOWER_LOAD_CELL, DEP, DEM, TIMESTAMP, SAMPLE_NO
0,1,4,0,32256,112,0,669,250,47,8/28/2025 12:26:50 PM,4
0,2,4,0,32256,112,0,622,250,44,8/28/2025 12:26:50 PM,4
0,3,4,0,32256,112,0,673,250,43,8/28/2025 12:26:51 PM,4
0,4,4,0,32256,112,0,1041,250,43,8/28/2025 12:26:51 PM,4
0,5,4,0,32257,112,0,1632,250,44,8/28/2025 12:26:51 PM,4
0,6,4,0,32257,112,0,1735,250,46,8/28/2025 12:26:51 PM,4
0,7,4,0,32257,112,0,7250,250,48,8/28/2025 12:26:51 PM,4
0,8,4,0,31999,111,0,21219,250,47,8/28/2025 12:26:52 PM,4
0,9,4,0,32257,109,0,21155,250,52,8/28/2025 12:26:52 PM,4
0,10,4,0,32256,109,0,17003,250,52,8/28/2025 12:26:52 PM,4
0,11,4,0,32256,109,0,14880,250,52,8/28/2025 12:26:52 PM,4
0,12,5,0,32256,109,0,15040,249,39,8/28/2025 12:26:52 PM,4
0,13,8,0,32258,109,0,15422,250,21,8/28/2025 12:26:53 PM,4
0,14,9,0,32257,107,0,19197,250,65,8/28/2025 12:26:53 PM,4
0,14,9,0,32256,106,0,19640,249,84,8/28/2025 12:26:53 PM,4
0,15,9,0,32256,106,0,15948,249,79,8/28/2025 12:26:53 PM,4
0,16,9,0,32256,106,0,14851,249,73,8/28/2025 12:26:53 PM,4
0,17,11,0,32256,106,0,13458,250,66,8/28/2025 12:26:54 PM,4
0,18,12,0,32256,106,0,10392,250,66,8/28/2025 12:26:54 PM,4
0,19,12,0,32256,106,0,10993,250,59,8/28/2025 12:26:54 PM,4
0,20,12,0,32256,106,0,11796,250,53,8/28/2025 12:26:54 PM,4
0,21,13,0,32256,106,0,14865,250,46,8/28/2025 12:26:54 PM,4
0,22,15,0,32257,106,0,19055,250,55,8/28/2025 12:26:55 PM,4
0,23,15,0,32256,106,0,19969,250,48,8/28/2025 12:26:55 PM,4
0,24,16,0,32256,106,0,19564,250,63,8/28/2025 12:26:55 PM,4
0,25,16,0,32259,105,0,20694,250,54,8/28/2025 12:26:55 PM,4
0,26,16,0,32256,105,0,21144,250,48,8/28/2025 12:26:55 PM,4
0,27,16,0,32256,104,0,21703,249,64,8/28/2025 12:26:56 PM,4
0,28,16,0,32257,104,0,19053,249,58,8/28/2025 12:26:56 PM,4
0,29,16,0,32256,104,0,18494,249,53,8/28/2025 12:26:56 PM,4
0,30,18,0,32256,104,0,15951,250,57,8/28/2025 12:26:56 PM,4
0,31,19,0,32256,104,0,13904,250,67,8/28/2025 12:26:56 PM,4
0,32,19,0,32256,104,0,11936,250,60,8/28/2025 12:26:57 PM,4
0,33,19,0,31999,104,0,12301,250,53,8/28/2025 12:26:57 PM,4
0,34,19,0,32257,104,0,11435,250,47,8/28/2025 12:26:57 PM,4
0,35,19,0,32256,104,0,11517,250,40,8/28/2025 12:26:57 PM,4
0,36,20,0,32256,104,0,12391,250,33,8/28/2025 12:26:57 PM,4
0,37,22,0,32257,104,0,13335,250,49,8/28/2025 12:26:58 PM,4
0,37,23,0,32256,104,0,15488,249,65,8/28/2025 12:26:58 PM,4
0,38,23,0,32256,104,0,16096,249,60,8/28/2025 12:26:58 PM,4
0,39,24,0,31999,104,0,15927,249,53,8/28/2025 12:26:58 PM,4
0,40,25,0,32256,104,0,15947,249,47,8/28/2025 12:26:58 PM,4
0,40,26,0,32257,104,0,18112,250,66,8/28/2025 12:26:59 PM,4
0,41,26,0,32256,104,0,19542,250,60,8/28/2025 12:26:59 PM,4
0,42,26,0,32257,104,0,16455,250,54,8/28/2025 12:26:59 PM,4
0,43,26,0,32258,104,0,16940,250,48,8/28/2025 12:26:59 PM,4
0,44,26,0,32257,103,0,16950,250,46,8/28/2025 12:26:59 PM,4
0,45,27,0,32256,103,0,18576,250,39,8/28/2025 12:27:00 PM,4
0,46,27,0,32256,103,0,15564,250,33,8/28/2025 12:27:00 PM,4
0,47,27,0,32257,103,0,13441,250,26,8/28/2025 12:27:00 PM,4
0,48,27,0,32256,103,0,13854,250,20,8/28/2025 12:27:00 PM,4
0,48,30,0,32256,103,0,12365,249,61,8/28/2025 12:27:00 PM,4
0,49,30,0,32256,103,0,11328,249,56,8/28/2025 12:27:01 PM,4
0,50,31,0,32256,103,0,10812,249,50,8/28/2025 12:27:01 PM,4
0,50,32,0,32256,103,0,10424,249,68,8/28/2025 12:27:01 PM,4
0,50,33,0,32257,103,0,11935,249,62,8/28/2025 12:27:01 PM,4
0,51,33,0,32256,103,0,13321,249,56,8/28/2025 12:27:01 PM,4
0,52,33,0,32258,103,0,14515,249,51,8/28/2025 12:27:02 PM,4
0,53,33,0,32257,103,0,15490,249,44,8/28/2025 12:27:02 PM,4
0,54,34,0,32257,103,0,15999,249,38,8/28/2025 12:27:02 PM,4
0,55,34,0,32256,103,0,16461,249,33,8/28/2025 12:27:02 PM,4
0,56,34,0,32256,103,0,16394,249,28,8/28/2025 12:27:02 PM,4
0,57,35,0,32256,103,0,18042,250,43,8/28/2025 12:27:03 PM,4
0,58,37,0,32256,102,0,17570,249,57,8/28/2025 12:27:03 PM,4
0,59,37,0,32256,102,0,19103,249,51,8/28/2025 12:27:03 PM,4
0,60,38,0,32257,102,0,15481,250,47,8/28/2025 12:27:03 PM,4
0,61,38,0,32257,102,0,16947,250,41,8/28/2025 12:27:04 PM,4
0,62,38,0,32256,102,0,12812,250,35,8/28/2025 12:27:04 PM,4
0,63,39,0,32256,102,0,6354,250,28,8/28/2025 12:27:04 PM,4
0,64,40,0,32257,102,0,5801,250,45,8/28/2025 12:27:04 PM,4
0,65,40,0,32257,102,0,5199,250,38,8/28/2025 12:27:04 PM,4
0,66,41,0,32257,102,0,4741,250,32,8/28/2025 12:27:05 PM,4
0,67,41,0,32256,102,0,4609,250,25,8/28/2025 12:27:05 PM,4
0,68,41,0,32256,102,0,4863,250,19,8/28/2025 12:27:05 PM,4
0,69,41,0,32256,102,0,4757,250,13,8/28/2025 12:27:05 PM,4
0,70,41,0,32256,102,0,4630,250,7,8/28/2025 12:27:05 PM,4
0,71,41,0,32257,102,0,3096,250,4,8/28/2025 12:27:06 PM,4
0,72,43,0,32257,102,0,2127,250,21,8/28/2025 12:27:06 PM,4
0,73,43,0,32256,102,0,135,250,17,8/28/2025 12:27:06 PM,4
0,74,43,0,32256,102,0,65692,250,15,8/28/2025 12:27:06 PM,4
0,75,44,0,32257,102,0,64582,250,29,8/28/2025 12:27:06 PM,4
0,76,44,0,32256,102,0,64101,250,22,8/28/2025 12:27:07 PM,4
0,77,44,0,32257,102,0,64093,250,17,8/28/2025 12:27:07 PM,4
0,78,44,0,32257,102,0,63650,250,12,8/28/2025 12:27:07 PM,4
0,79,44,0,32256,102,0,63736,250,8,8/28/2025 12:27:07 PM,4
0,80,44,0,32256,102,0,63533,250,10,8/28/2025 12:27:07 PM,4
0,81,44,0,32257,102,0,63207,250,14,8/28/2025 12:27:08 PM,4
0,82,44,0,32256,102,0,62557,250,21,8/28/2025 12:27:08 PM,4
0,83,44,0,32258,102,0,60110,250,26,8/28/2025 12:27:08 PM,4
0,84,45,0,32257,102,0,58930,250,33,8/28/2025 12:27:08 PM,4
0,85,47,0,32256,102,0,57909,250,32,8/28/2025 12:27:08 PM,4
0,86,48,0,32256,102,0,54373,250,37,8/28/2025 12:27:09 PM,4
0,87,48,0,32256,102,0,53289,250,42,8/28/2025 12:27:09 PM,4
0,88,48,0,32257,102,0,51878,250,48,8/28/2025 12:27:09 PM,4
0,89,48,0,32257,102,0,47853,250,54,8/28/2025 12:27:09 PM,4
0,90,48,0,32256,102,0,44630,250,61,8/28/2025 12:27:10 PM,4
0,91,48,0,32257,102,0,42099,250,67,8/28/2025 12:27:10 PM,4
0,92,48,0,32257,103,0,39585,249,50,8/28/2025 12:27:10 PM,4
0,93,48,0,32257,103,0,42108,249,57,8/28/2025 12:27:10 PM,4
0,94,49,0,32256,103,0,41194,249,55,8/28/2025 12:27:10 PM,4
0,95,52,0,32256,103,0,39152,250,37,8/28/2025 12:27:11 PM,4
0,96,52,0,32257,103,0,39449,250,42,8/28/2025 12:27:11 PM,4
0,97,52,0,32256,103,0,38593,250,47,8/28/2025 12:27:11 PM,4
0,98,52,0,32256,104,0,37527,249,28,8/28/2025 12:27:11 PM,4
0,99,52,0,32258,107,0,38107,250,41,8/28/2025 12:27:11 PM,4
0,100,52,0,32256,107,0,45823,250,35,8/28/2025 12:27:12 PM,4
0,101,52,0,32256,107,0,48707,250,29,8/28/2025 12:27:12 PM,4
