THRESHOLD, SCORE, UPPER ANGLE, UPPER THRESHOLD, UPPER_LOAD_CELL, LOWER ANGLE, LOWER THRESHOLD, LOWER_LOAD_CELL, DEP, DEM, TIMESTAMP, SAMPLE_NO
0,0,1,0,32257,111,0,4731,250,127,8/28/2025 11:57:27 AM,1
0,0,1,0,32259,111,0,18504,250,126,8/28/2025 11:57:27 AM,1
0,0,1,0,32256,111,0,23726,250,125,8/28/2025 11:57:27 AM,1
0,0,1,0,32258,111,0,19630,250,126,8/28/2025 11:57:27 AM,1
0,0,1,0,32257,111,0,12923,250,127,8/28/2025 11:57:27 AM,1
0,0,1,0,32256,111,0,20552,250,128,8/28/2025 11:57:28 AM,1
0,0,1,0,32258,111,0,44206,250,129,8/28/2025 11:57:28 AM,1
0,0,1,0,32256,111,0,4731,250,131,8/28/2025 11:57:28 AM,1
0,0,1,0,32258,109,0,60027,250,132,8/28/2025 11:57:28 AM,1
0,0,1,0,32256,107,0,9749,250,148,8/28/2025 11:57:29 AM,1
0,0,1,0,32256,106,0,31457,250,158,8/28/2025 11:57:29 AM,1
0,0,1,0,32256,103,0,14408,249,186,8/28/2025 11:57:29 AM,1
0,0,1,0,32257,102,0,43746,250,201,8/28/2025 11:57:29 AM,1
0,0,1,0,32256,102,0,48660,250,198,8/28/2025 11:57:30 AM,1
0,0,1,0,32258,102,0,38062,250,196,8/28/2025 11:57:30 AM,1
0,0,4,0,32258,102,0,19170,249,195,8/28/2025 11:57:30 AM,1
0,0,6,0,32256,102,0,29307,249,177,8/28/2025 11:57:30 AM,1
0,0,9,0,32258,102,0,57979,250,160,8/28/2025 11:57:30 AM,1
0,0,11,0,32256,102,0,52757,250,145,8/28/2025 11:57:31 AM,1
0,0,12,0,32258,102,0,58901,250,141,8/28/2025 11:57:31 AM,1
0,0,13,0,32256,102,0,1557,250,153,8/28/2025 11:57:31 AM,1
0,0,16,0,32256,102,0,10312,250,143,8/28/2025 11:57:31 AM,1
0,0,17,0,32256,102,0,19170,250,138,8/28/2025 11:57:32 AM,1
0,0,18,0,32258,102,0,17122,250,133,8/28/2025 11:57:32 AM,1
0,0,19,0,32258,102,0,26696,250,129,8/28/2025 11:57:32 AM,1
0,0,19,0,32259,102,0,26133,250,123,8/28/2025 11:57:32 AM,1
0,0,20,0,32258,102,0,61511,250,118,8/28/2025 11:57:32 AM,1
0,0,20,0,32256,102,0,44565,250,112,8/28/2025 11:57:33 AM,1
0,0,23,0,32256,101,0,6882,249,135,8/28/2025 11:57:33 AM,1
0,0,25,0,32257,101,0,50709,249,138,8/28/2025 11:57:33 AM,1
0,0,26,0,32256,101,0,6882,250,122,8/28/2025 11:57:33 AM,1
0,0,26,0,32257,101,0,53986,250,116,8/28/2025 11:57:34 AM,1
0,0,27,0,32258,101,0,63560,250,109,8/28/2025 11:57:34 AM,1
0,0,28,0,32259,101,0,1198,250,102,8/28/2025 11:57:34 AM,1
0,0,30,0,32257,101,0,32277,250,112,8/28/2025 11:57:34 AM,1
0,0,32,0,32256,100,0,52757,250,140,8/28/2025 11:57:34 AM,1
0,0,33,0,32256,100,0,10978,250,152,8/28/2025 11:57:35 AM,1
0,0,34,0,32257,99,0,47176,250,164,8/28/2025 11:57:35 AM,1
0,0,34,0,32258,99,0,20552,250,157,8/28/2025 11:57:35 AM,1
0,0,35,0,32258,99,0,5652,250,150,8/28/2025 11:57:35 AM,1
0,0,38,0,32257,99,0,58542,250,168,8/28/2025 11:57:35 AM,1
0,0,39,0,32256,99,0,7342,250,161,8/28/2025 11:57:36 AM,1
0,0,40,0,32257,99,0,47176,250,154,8/28/2025 11:57:36 AM,1
0,0,40,0,32258,99,0,6882,250,148,8/28/2025 11:57:36 AM,1
0,0,40,0,32258,99,0,13486,250,141,8/28/2025 11:57:36 AM,1
0,0,42,0,32258,99,0,4834,249,156,8/28/2025 11:57:36 AM,1
0,0,44,0,32258,98,0,62178,250,173,8/28/2025 11:57:37 AM,1
0,0,46,0,32256,98,0,20552,250,190,8/28/2025 11:57:37 AM,1
0,0,48,0,32257,98,0,45794,250,201,8/28/2025 11:57:37 AM,1
0,0,48,0,32257,98,0,57416,250,193,8/28/2025 11:57:37 AM,1
0,0,48,0,32258,98,0,3605,250,187,8/28/2025 11:57:38 AM,1
0,0,49,0,32257,98,0,7342,250,180,8/28/2025 11:57:38 AM,1
0,0,51,0,32256,98,0,8930,250,198,8/28/2025 11:57:38 AM,1
0,0,53,0,32257,98,0,65045,250,215,8/28/2025 11:57:38 AM,1
0,0,54,0,32257,98,0,58542,250,208,8/28/2025 11:57:38 AM,1
0,0,55,0,32256,98,0,48302,250,202,8/28/2025 11:57:39 AM,1
0,0,55,0,32258,98,0,35451,250,195,8/28/2025 11:57:39 AM,1
0,0,57,0,32258,98,0,47176,250,214,8/28/2025 11:57:39 AM,1
0,0,60,0,32256,98,0,11438,250,236,8/28/2025 11:57:39 AM,1
0,0,61,0,32256,98,0,57979,250,229,8/28/2025 11:57:39 AM,1
0,0,62,0,32256,98,0,57416,250,248,8/28/2025 11:57:40 AM,1
0,0,62,0,32257,98,0,45690,250,241,8/28/2025 11:57:40 AM,1
0,0,62,0,32259,98,0,42157,250,235,8/28/2025 11:57:40 AM,1
0,0,62,0,32257,98,0,26132,250,228,8/28/2025 11:57:40 AM,1
0,0,62,0,32257,98,0,3604,250,222,8/28/2025 11:57:41 AM,1
0,0,63,0,32257,98,0,49889,250,221,8/28/2025 11:57:41 AM,1
0,0,63,0,32256,98,0,43745,250,215,8/28/2025 11:57:41 AM,1
0,0,63,0,32256,98,0,16455,250,209,8/28/2025 11:57:41 AM,1
0,0,63,0,32259,98,0,33402,250,202,8/28/2025 11:57:41 AM,1
0,0,66,0,32258,98,0,45690,250,228,8/28/2025 11:57:42 AM,1
0,0,67,0,32258,98,0,38420,250,221,8/28/2025 11:57:42 AM,1
0,0,67,0,32257,98,0,43079,250,214,8/28/2025 11:57:42 AM,1
0,0,67,0,32257,99,0,38983,249,241,8/28/2025 11:57:42 AM,1
0,0,67,0,32258,99,0,31355,249,235,8/28/2025 11:57:43 AM,1
0,0,69,0,32258,99,0,43642,250,240,8/28/2025 11:57:43 AM,1
0,0,69,0,32258,99,0,57979,250,234,8/28/2025 11:57:43 AM,1
0,0,69,0,32258,101,0,58082,250,242,8/28/2025 11:57:43 AM,1
0,0,69,0,32256,104,0,34888,250,304,8/28/2025 11:57:43 AM,1
0,0,69,0,32256,106,0,66273,250,335,8/28/2025 11:57:44 AM,1
0,0,69,0,32257,106,0,3604,250,329,8/28/2025 11:57:44 AM,1
0,0,69,0,32257,106,0,22037,250,324,8/28/2025 11:57:44 AM,1
0,0,69,0,32257,107,0,36372,250,337,8/28/2025 11:57:44 AM,1
0,0,69,0,32257,108,0,8264,250,353,8/28/2025 11:57:45 AM,1
0,0,69,0,32257,110,0,49889,249,369,8/28/2025 11:57:45 AM,1
0,0,69,0,32256,111,0,25313,250,385,8/28/2025 11:57:45 AM,1
0,0,69,0,32256,113,0,15892,250,424,8/28/2025 11:57:45 AM,1
0,0,69,0,32257,113,0,1197,250,419,8/28/2025 11:57:45 AM,1
0,0,69,0,32256,113,0,46253,250,412,8/28/2025 11:57:46 AM,1
0,0,69,0,32257,114,0,46612,249,430,8/28/2025 11:57:46 AM,1
0,0,69,0,32257,114,0,38061,249,424,8/28/2025 11:57:46 AM,1
0,0,69,0,32258,117,0,4168,249,489,8/28/2025 11:57:46 AM,1
0,0,69,0,32257,118,0,49223,250,507,8/28/2025 11:57:47 AM,1
0,0,69,0,32257,118,0,17581,250,501,8/28/2025 11:57:47 AM,1
0,0,69,0,32257,120,0,53319,250,514,8/28/2025 11:57:47 AM,1
0,0,69,0,32257,120,0,9748,250,508,8/28/2025 11:57:47 AM,1
0,0,67,0,32257,121,0,42516,250,526,8/28/2025 11:57:47 AM,1
0,0,63,0,32256,121,0,46612,250,464,8/28/2025 11:57:48 AM,1
0,0,60,0,32257,124,0,4168,250,507,8/28/2025 11:57:48 AM,1
0,0,58,0,32256,125,0,33402,250,501,8/28/2025 11:57:48 AM,1
0,0,57,0,32258,126,0,9748,250,521,8/28/2025 11:57:48 AM,1
0,0,57,0,32258,127,0,38983,249,541,8/28/2025 11:57:49 AM,1
0,0,56,0,32258,127,0,39546,249,536,8/28/2025 11:57:49 AM,1
0,0,52,0,32257,127,0,9389,250,512,8/28/2025 11:57:49 AM,1
0,0,49,0,32257,127,0,65044,250,489,8/28/2025 11:57:49 AM,1
0,0,49,0,32258,128,0,51937,249,507,8/28/2025 11:57:50 AM,1
0,0,47,0,32257,128,0,27822,250,486,8/28/2025 11:57:50 AM,1
0,0,45,0,32257,128,0,55930,250,490,8/28/2025 11:57:50 AM,1
0,0,43,0,32256,128,0,41031,250,495,8/28/2025 11:57:50 AM,1
0,0,43,0,32258,129,0,6882,250,491,8/28/2025 11:57:50 AM,1
0,0,43,0,32256,129,0,25314,250,485,8/28/2025 11:57:51 AM,1
0,0,43,0,32257,131,0,45690,249,537,8/28/2025 11:57:51 AM,1
0,0,42,0,32258,131,0,2785,249,531,8/28/2025 11:57:51 AM,1
0,0,38,0,32258,131,0,65044,250,530,8/28/2025 11:57:51 AM,1
0,0,36,0,32258,131,0,1197,250,540,8/28/2025 11:57:51 AM,1
0,0,34,0,32258,131,0,10977,250,550,8/28/2025 11:57:52 AM,1
0,0,31,0,32258,131,0,3245,249,563,8/28/2025 11:57:52 AM,1
0,0,30,0,32257,131,0,11438,249,558,8/28/2025 11:57:52 AM,1
0,0,29,0,32258,131,0,51937,250,553,8/28/2025 11:57:52 AM,1
0,0,28,0,32257,131,0,23163,250,548,8/28/2025 11:57:52 AM,1
0,0,27,0,32258,131,0,28181,250,563,8/28/2025 11:57:53 AM,1
0,0,25,0,32258,131,0,17582,249,578,8/28/2025 11:57:53 AM,1
0,0,23,0,32256,131,0,19630,250,593,8/28/2025 11:57:53 AM,1
0,0,21,0,32258,131,0,62637,250,610,8/28/2025 11:57:53 AM,1
0,0,20,0,32257,131,0,30791,250,605,8/28/2025 11:57:54 AM,1
0,0,20,0,32257,131,0,16455,250,601,8/28/2025 11:57:54 AM,1
0,0,20,0,32257,131,0,15533,250,596,8/28/2025 11:57:54 AM,1
0,0,19,0,32257,131,0,25210,250,592,8/28/2025 11:57:54 AM,1
